	0
鼻塞严重	[['鼻塞严重', '鼻塞', '严重', 8.062141498273337e-07]]
鼻交替性	[['鼻交替性', '鼻', '交替性', 0.0007158342536916595]]
黑褐色	[['黑褐色', '黑', '褐色', 0.0005270337301587301]]
黑色素痣	[['黑色素痣', '黑', '色素痣', 0.0015262515262515263], ['黑色素痣', '黑色素', '痣', 0.026737967914438502]]
黑色素	[['黑色素', '黑色', '素', 9.559398626922742e-05], ['黑色素', '黑', '色素', 0.0010151347360649685]]
黑色稀烂便	[['黑色稀烂便', '黑色', '稀烂便', 0.00011448665003884369]]
黑色痣	[['黑色痣', '黑色', '痣', 0.0012718600953895071]]
黑色烂便	[['黑色烂便', '黑色', '烂便', 6.492979465952438e-05]]
黑色水样便	[['黑色水样便', '黑色', '水样便', 1.9162441614435705e-05]]
黑色斑点样物	[['黑色斑点样物', '黑色斑点', '样物', 0.0038638454461821527]]
黑色斑点	[['黑色斑点', '黑色', '斑点', 0.0016891891891891893]]
黑色成形便	[['黑色成形便', '黑色', '成形便', 0.0015765765765765765]]
黑色丘疹	[['黑色丘疹', '黑色', '丘疹', 3.746657810930023e-05], ['黑色丘疹', '黑', '色丘疹', 0.007275132275132275]]
黏液脓血便	[['黏液脓血便', '黏液', '脓血便', 0.00286000286000286]]
黄连素过敏	[['黄连素过敏', '黄连素', '过敏', 1.6356921104026745e-05]]
黄连素	[['黄连素', '黄连', '素', 0.0073893148651991095]]
黄软成形	[['黄软成形', '黄软', '成形', 0.002635046113306983]]
黄豆大小	[['黄豆大小', '黄豆大', '小', 0.0048616305160807775], ['黄豆大小', '黄豆', '大小', 0.004928723081589323]]
黄豆大	[['黄豆大', '黄豆', '大', 3.679500765336159e-05]]
黄褐色水样便	[['黄褐色水样便', '黄褐色', '水样便', 0.0006462333825701625], ['黄褐色水样便', '黄', '褐色水样便', 0.006815968841285297]]
黄褐色斑片	[['黄褐色斑片', '黄褐色斑', '片', 0.000931098696461825], ['黄褐色斑片', '黄', '褐色斑片', 0.0019474196689386564], ['黄褐色斑片', '黄褐色', '斑片', 0.07954545454545454]]
黄褐色斑多年	[['黄褐色斑多年', '黄褐色斑', '多年', 0.00018904782910076249]]
黄褐色斑块	[['黄褐色斑块', '黄褐色斑', '块', 0.002145002145002145], ['黄褐色斑块', '黄褐色', '斑块', 0.006944444444444444]]
黄褐色斑	[['黄褐色斑', '黄褐色', '斑', 0.011122881355932203]]
黄褐色	[['黄褐色', '黄', '褐色', 0.00012171372930866602]]
黄色软便	[['黄色软便', '黄色', '软便', 0.000117000117000117]]
黄色脓痰	[['黄色脓痰', '黄色', '脓痰', 0.00017490926581835672], ['黄色脓痰', '黄色脓', '痰', 0.00029470271863257937]]
黄色脓液	[['黄色脓液', '黄色', '脓液', 9.410878976096367e-05], ['黄色脓液', '黄色脓', '液', 0.0012605042016806723]]
黄色脓涕	[['黄色脓涕', '黄色', '脓涕', 0.00013555468100922647], ['黄色脓涕', '黄色脓', '涕', 0.00206597800733089]]
黄色脓性	[['黄色脓性', '黄色', '脓性', 0.0004485004485004485], ['黄色脓性', '黄色脓', '性', 0.0008627156789197299]]
黄色脓	[['黄色脓', '黄色', '脓', 1.4401212006002426e-05]]
黄色素	[['黄色素', '黄色', '素', 1.1599690056281696e-05], ['黄色素', '黄', '色素', 0.00011322207377550327]]
黄色糊状	[['黄色糊状', '黄色', '糊状', 0.00016142050040355126]]
黄色粘稠痰	[['黄色粘稠痰', '黄色粘稠', '痰', 9.209459957268106e-05], ['黄色粘稠痰', '黄色', '粘稠痰', 0.0027056277056277055], ['黄色粘稠痰', '黄色粘', '稠痰', 0.06465517241379311]]
黄色粘稠状	[['黄色粘稠状', '黄色', '粘稠状', 0.00030811418711774584], ['黄色粘稠状', '黄色粘稠', '状', 0.007183908045977011]]
黄色粘稠涕	[['黄色粘稠涕', '黄色', '粘稠涕', 0.000641333974667308], ['黄色粘稠涕', '黄色粘稠', '涕', 0.000999666777740753], ['黄色粘稠涕', '黄色粘', '稠涕', 0.1875]]
黄色粘稠	[['黄色粘稠', '黄色', '粘稠', 3.4086648259876604e-05], ['黄色粘稠', '黄色粘', '稠', 0.004934210526315789]]
黄色粘痰	[['黄色粘痰', '黄色粘', '痰', 0.0013445811537611434], ['黄色粘痰', '黄色', '粘痰', 0.002569246471685496]]
黄色粘液痰	[['黄色粘液痰', '黄色粘液', '痰', 0.00028549325867531126], ['黄色粘液痰', '黄色', '粘液痰', 0.006390434961863534]]
黄色粘液	[['黄色粘液', '黄色', '粘液', 8.49448973069282e-06], ['黄色粘液', '黄色粘', '液', 0.0010504201680672268]]
黄色粘	[['黄色粘', '黄色', '粘', 3.735926066023154e-05]]
黄色稀烂便	[['黄色稀烂便', '黄色', '稀烂便', 7.859009371868676e-05], ['黄色稀烂便', '黄色稀', '烂便', 0.00042395336512983573], ['黄色稀烂便', '黄色稀烂', '便', 0.0015544041450777201]]
黄色稀烂	[['黄色稀烂', '黄色', '稀烂', 4.8708909468403137e-05], ['黄色稀烂', '黄色稀', '烂', 0.00034100596760443307]]
黄色稀水样便	[['黄色稀水样便', '黄色稀', '水样便', 1.7377704405248066e-05], ['黄色稀水样便', '黄色', '稀水样便', 4.975867044832562e-05]]
黄色稀	[['黄色稀', '黄色', '稀', 0.0004906204906204906]]
黄色痰液	[['黄色痰液', '黄色', '痰液', 5.346925217235546e-06], ['黄色痰液', '黄色痰', '液', 6.178942165101334e-05]]
黄色痰	[['黄色痰', '黄色', '痰', 1.445871924027085e-05]]
黄色烂便	[['黄色烂便', '黄色', '烂便', 0.00010111121222232333]]
黄色渗液	[['黄色渗液', '黄色', '渗液', 3.235429244397854e-05]]
黄色浓痰	[['黄色浓痰', '黄色', '浓痰', 0.0016491445062873633]]
黄色水样大便	[['黄色水样大便', '黄色水样', '大便', 0.00016986706056129985], ['黄色水样大便', '黄色', '水样大便', 0.0027657527657527657]]
黄色水样便	[['黄色水样便', '黄色', '水样便', 3.6661188802990874e-05], ['黄色水样便', '黄色水样', '便', 0.0011882556131260795]]
黄色水样	[['黄色水样', '黄色', '水样', 7.143571500007143e-05]]
黄色斑块	[['黄色斑块', '黄色', '斑块', 0.000160333493666827]]
黄色成形便	[['黄色成形便', '黄色成形', '便', 0.00025121683152771237], ['黄色成形便', '黄色', '成形便', 0.000481000481000481]]
黄色成形	[['黄色成形', '黄色', '成形', 7.668123610152595e-05]]
黄色分泌物	[['黄色分泌物', '黄色', '分泌物', 0.0001554400118134409]]
黄色丘疹	[['黄色丘疹', '黄色', '丘疹', 7.2741093535044385e-06], ['黄色丘疹', '黄', '色丘疹', 0.0012982797792924375]]
黄脓痰	[['黄脓痰', '黄', '脓痰', 0.0004248915641320705], ['黄脓痰', '黄脓', '痰', 0.001060929787077286]]
黄脓涕	[['黄脓涕', '黄', '脓涕', 1.4753179310141336e-05], ['黄脓涕', '黄脓', '涕', 0.0003332222592469177]]
黄绿色粘痰	[['黄绿色粘痰', '黄绿色', '粘痰', 0.0010305736860185502]]
黄绿色稀	[['黄绿色稀', '黄绿色', '稀', 0.0003380281690140845]]
黄绿色痰	[['黄绿色痰', '黄绿色', '痰', 3.009288324065071e-05], ['黄绿色痰', '黄', '绿色痰', 0.0025670531999645923]]
黄绿色	[['黄绿色', '黄', '绿色', 0.0014402791301525478], ['黄绿色', '黄绿', '色', 0.030277185501066096]]
黄绿痰	[['黄绿痰', '黄绿', '痰', 0.0003368031070086622], ['黄绿痰', '黄', '绿痰', 0.0009164327853828971]]
黄绿涕	[['黄绿涕', '黄', '绿涕', 0.00024342745861733204], ['黄绿涕', '黄绿', '涕', 0.00028561907935450087]]
黄粘痰	[['黄粘痰', '黄粘', '痰', 0.001399837913504752], ['黄粘痰', '黄', '粘痰', 0.0018049255468211936]]
黄稠痰	[['黄稠痰', '黄稠', '痰', 1.583113777778319e-05], ['黄稠痰', '黄', '稠痰', 0.0008729812309035355]]
黄白色粘稠状	[['黄白色粘稠状', '黄白色', '粘稠状', 0.00017730271906384165]]
黄白色粘稠涕	[['黄白色粘稠涕', '黄白色', '粘稠涕', 0.00023431893736361906]]
黄白色粘痰	[['黄白色粘痰', '黄', '白色粘痰', 7.01907396013166e-05], ['黄白色粘痰', '黄白色', '粘痰', 0.0006799178312067818]]
黄白色痰	[['黄白色痰', '黄白色', '痰', 2.6219103081190335e-06], ['黄白色痰', '黄', '白色痰', 0.00014461037145584082]]
黄白色	[['黄白色', '黄', '白色', 0.0010701921648730685], ['黄白色', '黄白', '色', 0.07189765458422175]]
黄白粘痰	[['黄白粘痰', '黄', '白粘痰', 0.00015374365807410445], ['黄白粘痰', '黄白', '粘痰', 0.013588850174216028]]
黄白痰	[['黄白痰', '黄', '白痰', 0.0005407491845104865], ['黄白痰', '黄白', '痰', 0.0018903074380861164]]
黄痰多日	[['黄痰多日', '黄痰', '多日', 5.799771025039931e-06]]
黄疸消退	[['黄疸消退', '黄疸', '消退', 3.984190731178683e-05]]
黄疸持续	[['黄疸持续', '黄疸', '持续', 2.4971849914641678e-05]]
黄疸情况	[['黄疸情况', '黄疸', '情况', 4.72411186696901e-05]]
黄疸加重	[['黄疸加重', '黄疸', '加重', 4.166145898429363e-06]]
黄烂便	[['黄烂便', '黄', '烂便', 1.1696214227859798e-05], ['黄烂便', '黄烂', '便', 6.377042646472698e-05]]
黄埔转诊	[['黄埔转诊', '黄埔', '转诊', 0.022675736961451247]]
黄体酮针	[['黄体酮针', '黄体酮', '针', 7.284382284382284e-05]]
黄体酮调经	[['黄体酮调经', '黄体酮', '调经', 0.00011643070044709389]]
黄体酮调理	[['黄体酮调理', '黄体酮', '调理', 0.0003197560015741834]]
黄体酮胶囊	[['黄体酮胶囊', '黄体酮', '胶囊', 4.782675237220692e-05]]
黄体酮肌注	[['黄体酮肌注', '黄体酮', '肌注', 3.833885412832781e-05]]
黄体酮等治疗	[['黄体酮等治疗', '黄体酮', '等治疗', 2.618349392542941e-05]]
黄体酮治疗	[['黄体酮治疗', '黄体酮', '治疗', 1.4929702429702429e-05]]
黄体酮安胎治疗	[['黄体酮安胎治疗', '黄体酮', '安胎治疗', 0.00017959770114942528]]
黄体酮凝胶	[['黄体酮凝胶', '黄体酮', '凝胶', 0.0015495867768595042]]
黄体酮催经	[['黄体酮催经', '黄体酮', '催经', 0.005326704545454545]]
黄体酮保胎治疗	[['黄体酮保胎治疗', '黄体酮', '保胎治疗', 0.0003885003885003885]]
黄体酮	[['黄体酮', '黄体', '酮', 0.15980629539951574]]
黄体破裂	[['黄体破裂', '黄体', '破裂', 0.005813953488372093]]
黄体功能	[['黄体功能', '黄体', '功能', 0.0006454388984509467]]
麻醉药过敏	[['麻醉药过敏', '麻醉药', '过敏', 0.0008795934323690383], ['麻醉药过敏', '麻醉', '药过敏', 0.0234375]]
麻醉药	[['麻醉药', '麻醉', '药', 0.0004314994606256742]]
麻辣烫	[['麻辣烫', '麻辣', '烫', 0.026578073089700997]]
麻痹症	[['麻痹症', '麻痹', '症', 6.975296718391174e-05]]
麻痹感	[['麻痹感', '麻痹', '感', 7.360739318665934e-05]]
麻痹乏力	[['麻痹乏力', '麻痹', '乏力', 3.3331333453326134e-06]]
麻痹不适	[['麻痹不适', '麻痹', '不适', 6.564158382400418e-06]]
麻疹疫苗	[['麻疹疫苗', '麻疹', '疫苗', 0.00873015873015873]]
麻木等不适	[['麻木等不适', '麻木', '等不适', 3.561380391039567e-06]]
麻木感	[['麻木感', '麻木', '感', 2.364054055326139e-05]]
麻木不适	[['麻木不适', '麻木', '不适', 1.1473341012256332e-06]]
麝香保心丸	[['麝香保心丸', '麝香', '保心丸', 0.6285714285714286]]
鸡蛋过敏	[['鸡蛋过敏', '鸡蛋', '过敏', 7.951127072262493e-05]]
鸡眼膏	[['鸡眼膏', '鸡眼', '膏', 0.007407407407407408], ['鸡眼膏', '鸡', '眼膏', 0.007452574525745257]]
鳞癌术后	[['鳞癌术后', '鳞癌', '术后', 0.00020143421158649584]]
鳞屑反复	[['鳞屑反复', '鳞屑', '反复', 1.3067868910606442e-05]]
鳞屑伴痒反复	[['鳞屑伴痒反复', '鳞屑伴痒', '反复', 6.253908692933083e-05]]
鳞屑伴痒	[['鳞屑伴痒', '鳞屑', '伴痒', 0.0006815238874122538]]
鲜血便	[['鲜血便', '鲜血', '便', 2.467308166790032e-05], ['鲜血便', '鲜', '血便', 0.00035688793718772306]]
鲜红色皮肤斑	[['鲜红色皮肤斑', '鲜', '红色皮肤斑', 0.21739130434782608]]
鲜红色分泌物	[['鲜红色分泌物', '鲜红色', '分泌物', 1.468145438681857e-05], ['鲜红色分泌物', '鲜', '红色分泌物', 0.01674641148325359]]
鲜红色	[['鲜红色', '鲜红', '色', 0.01996268656716418], ['鲜红色', '鲜', '红色', 0.41392649903288203]]
鲜红斑	[['鲜红斑', '鲜红', '斑', 0.00039724576271186443], ['鲜红斑', '鲜', '红斑', 0.0005935305173607676]]
鱼腥草过敏史	[['鱼腥草过敏史', '鱼腥草过敏', '史', 0.00010402038799604722], ['鱼腥草过敏史', '鱼腥草', '过敏史', 0.00029728725380899295]]
鱼腥草过敏	[['鱼腥草过敏', '鱼腥草', '过敏', 0.00012028628134961207]]
高龄要求检查	[['高龄要求检查', '高龄', '要求检查', 0.002355616927950613]]
高龄妊娠	[['高龄妊娠', '高龄', '妊娠', 0.009615384615384616]]
高风险就诊	[['高风险就诊', '高风险', '就诊', 1.9756598703967125e-05]]
高风险	[['高风险', '高', '风险', 0.0019710565900720994]]
高雄激素	[['高雄激素', '高', '雄激素', 0.0002528658125421443]]
高血脂高	[['高血脂高', '高血脂', '高', 7.445050211545784e-06], ['高血脂高', '高', '血脂高', 8.138210058827633e-05]]
高血脂症史	[['高血脂症史', '高血脂症', '史', 8.66836566633727e-06], ['高血脂症史', '高血脂', '症史', 0.0004800438897270608]]
高血脂症	[['高血脂症', '高血脂', '症', 0.00019834148737225864]]
高血脂	[['高血脂', '高', '血脂', 0.0010478230402073169], ['高血脂', '高血', '脂', 0.23054545454545455]]
高血糖	[['高血糖', '高', '血糖', 1.5957551276931436e-05], ['高血糖', '高血', '糖', 0.01046979865771812]]
高血压高血脂	[['高血压高血脂', '高血压', '高血脂', 1.710193535272986e-06]]
高血压高血压	[['高血压高血压', '高血压', '高血压', 2.9990449121610936e-08]]
高血压高脂血症	[['高血压高脂血症', '高血压', '高脂血症', 5.080893633378974e-07]]
高血压药	[['高血压药', '高血压', '药', 3.508940781110269e-07], ['高血压药', '高', '血压药', 0.00039334681951000227]]
高血压等病史	[['高血压等病史', '高血压', '等病史', 9.03884073482988e-06], ['高血压等病史', '高血压等病', '史', 0.0007083788422530816]]
高血压等病	[['高血压等病', '高血压', '等病', 1.1443164274770697e-06]]
高血压等疾病	[['高血压等疾病', '高血压', '等疾病', 0.00010842627013630731]]
高血压病病史	[['高血压病病史', '高血压病', '病史', 2.1989739099075502e-06], ['高血压病病史', '高血压', '病病史', 5.5762081784386615e-05]]
高血压病史	[['高血压病史', '高血压', '病史', 2.8455672883494408e-05], ['高血压病史', '高血压病', '史', 0.00015235298769646684]]
高血压病	[['高血压病', '高血压', '病', 4.2621793233816086e-05]]
高血压史	[['高血压史', '高血压', '史', 9.341050176689649e-06]]
高血压冠心病病史	[['高血压冠心病病史', '高血压', '冠心病病史', 1.0850765087446317e-06], ['高血压冠心病病史', '高血压冠心病', '病史', 5.775506078720148e-06]]
高血压冠心病史	[['高血压冠心病史', '高血压', '冠心病史', 5.296837818090245e-07], ['高血压冠心病史', '高血压冠心病', '史', 1.0402038799604722e-05]]
高血压冠心病	[['高血压冠心病', '高血压', '冠心病', 1.1855912319905305e-06]]
高血压	[['高血压', '高', '血压', 0.004357695524249806], ['高血压', '高血', '压', 0.4747058823529412]]
高蛋白	[['高蛋白', '高', '蛋白', 3.951028320971005e-05]]
高脂血症史	[['高脂血症史', '高脂血症', '史', 2.273922727280039e-05], ['高脂血症史', '高脂血', '症史', 0.845108695652174]]
高脂血症	[['高脂血症', '高脂血', '症', 0.13310878243512975]]
高胆红	[['高胆红', '高', '胆红', 0.0003756863500626144], ['高胆红', '高胆', '红', 0.005652173913043478]]
高胆固醇血症史	[['高胆固醇血症史', '高胆固醇血症', '史', 7.801529099703543e-06]]
高级别上	[['高级别上', '高级别', '上', 0.0006319659887395151]]
高密度影	[['高密度影', '高', '密度影', 0.0001296747756626381], ['高密度影', '高密度', '影', 0.008680555555555556]]
高密度	[['高密度', '高', '密度', 2.1520494684437815e-06]]
高回声团	[['高回声团', '高', '回声团', 0.0006975608621852256], ['高回声团', '高回声', '团', 0.05357142857142857]]
高回声区	[['高回声区', '高', '回声区', 1.2041229168673539e-05], ['高回声区', '高回声', '区', 0.001160261058738216]]
高回声光团	[['高回声光团', '高回声', '光团', 0.024175824175824177]]
高回声	[['高回声', '高', '回声', 6.592404796257021e-05]]
高危阳性	[['高危阳性', '高危', '阳性', 0.00022450048641772056]]
高危型	[['高危型', '高危', '型', 0.002518045996306866]]
高位结扎术	[['高位结扎术', '高位', '结扎术', 0.041666666666666664]]
髋关节	[['髋关节', '髋', '关节', 0.0032496307237813884]]
骶部疼痛	[['骶部疼痛', '骶部', '疼痛', 0.001883216191591826], ['骶部疼痛', '骶', '部疼痛', 0.06922846889952153]]
骶尾部褥疮	[['骶尾部褥疮', '骶尾部', '褥疮', 0.022321428571428572]]
骶尾部着地	[['骶尾部着地', '骶尾部', '着地', 0.008928571428571428]]
骶尾部疼痛	[['骶尾部疼痛', '骶尾部', '疼痛', 5.185962514642718e-05]]
骨髓病理	[['骨髓病理', '骨髓', '病理', 0.0006505475441830207]]
骨髓增生	[['骨髓增生', '骨髓', '增生', 0.002566425120772947]]
骨骨折	[['骨骨折', '骨', '骨折', 0.0002050524934383202]]
骨转移	[['骨转移', '骨', '转移', 0.0003967035217035217]]
骨质疏松症治疗后复查	[['骨质疏松症治疗后复查', '骨质疏松症', '治疗后复查', 0.00022495163539838935]]
骨质疏松症史	[['骨质疏松症史', '骨质疏松症', '史', 1.4260859644619378e-05], ['骨质疏松症史', '骨质疏松', '症史', 0.0008380163659666765]]
骨质疏松症	[['骨质疏松症', '骨质疏松', '症', 0.00021046342688772114]]
骨质疏忪病史	[['骨质疏忪病史', '骨质疏忪', '病史', 4.1347373063564696e-05]]
骨质增生	[['骨质增生', '骨质', '增生', 0.0037977430555555555]]
骨缺如	[['骨缺如', '骨', '缺如', 0.0030153508771929823]]
骨科住院治疗	[['骨科住院治疗', '骨科住院', '治疗', 0.00014076576576576576], ['骨科住院治疗', '骨科', '住院治疗', 0.0012054001928640309], ['骨科住院治疗', '骨', '科住院治疗', 0.005208333333333333]]
骨科住院	[['骨科住院', '骨科', '住院', 0.0008805917576611482], ['骨科住院', '骨', '科住院', 0.0032552083333333335]]
骨疼痛	[['骨疼痛', '骨', '疼痛', 1.8557610959260707e-05]]
骨折病史	[['骨折病史', '骨折', '病史', 8.953171332661646e-06]]
骨折术后	[['骨折术后', '骨折', '术后', 3.7749088470540166e-05]]
骨折征	[['骨折征', '骨折', '征', 0.00127000254000508]]
骨折史	[['骨折史', '骨折', '史', 7.985817188672917e-06]]
骨密度	[['骨密度', '骨', '密度', 5.5407801418439715e-05]]
骨关节病病史	[['骨关节病病史', '骨关节病', '病史', 3.022839646262654e-06], ['骨关节病病史', '骨关节', '病病史', 0.018571428571428572]]
骨关节病史	[['骨关节病史', '骨关节病', '史', 7.22718339911187e-05], ['骨关节病史', '骨关节', '病史', 0.003270380317075284], ['骨关节病史', '骨', '关节病史', 0.08738425925925926]]
骨关节病	[['骨关节病', '骨关节', '病', 0.010326259106746912], ['骨关节病', '骨', '关节病', 0.03948643410852713]]
骨关节疼痛	[['骨关节疼痛', '骨关节', '疼痛', 8.367267250515982e-05], ['骨关节疼痛', '骨', '关节疼痛', 0.00011261261261261261]]
骨关节炎病史	[['骨关节炎病史', '骨关节炎', '病史', 8.085708510208207e-06], ['骨关节炎病史', '骨', '关节炎病史', 0.000925925925925926], ['骨关节炎病史', '骨关节', '炎病史', 0.012698412698412698]]
骨关节炎史	[['骨关节炎史', '骨关节炎', '史', 1.2482446559525667e-05], ['骨关节炎史', '骨', '关节炎史', 0.0021551724137931034], ['骨关节炎史', '骨关节', '炎史', 0.009266409266409266]]
骨关节炎	[['骨关节炎', '骨', '关节炎', 0.002959280303030303], ['骨关节炎', '骨关节', '炎', 0.010175010175010175]]
骨关节	[['骨关节', '骨', '关节', 5.385278188084687e-05]]
验尿妊娠试验阴性	[['验尿妊娠试验阴性', '验尿妊娠试验', '阴性', 0.001984126984126984], ['验尿妊娠试验阴性', '验', '尿妊娠试验阴性', 0.008018327605956471]]
验尿妊娠试验阳性	[['验尿妊娠试验阳性', '验', '尿妊娠试验阳性', 0.007820831852115179], ['验尿妊娠试验阳性', '验尿妊娠试验', '阳性', 0.012621916236374068], ['验尿妊娠试验阳性', '验尿', '妊娠试验阳性', 0.24444444444444444]]
验尿妊娠试验	[['验尿妊娠试验', '验', '尿妊娠试验', 0.0018744142455482662], ['验尿妊娠试验', '验尿', '妊娠试验', 0.08]]
验妊娠试验阳性	[['验妊娠试验阳性', '验', '妊娠试验阳性', 0.02663230240549828]]
验单证实	[['验单证实', '验单', '证实', 0.01818181818181818]]
马鞍形子宫	[['马鞍形子宫', '马', '鞍形子宫', 0.014802631578947368]]
马鞍型子宫	[['马鞍型子宫', '马', '鞍型子宫', 0.024305555555555556]]
饿时明显	[['饿时明显', '饿时', '明显', 7.913896802785692e-05]]
饱餐后	[['饱餐后', '饱餐', '后', 0.00017059751780611592], ['饱餐后', '饱', '餐后', 0.0034626038781163434]]
饱食后	[['饱食后', '饱食', '后', 9.139152739613353e-05], ['饱食后', '饱', '食后', 0.08771929824561403]]
饱胀样	[['饱胀样', '饱胀', '样', 0.0011312217194570137], ['饱胀样', '饱', '胀样', 0.15789473684210525]]
饱胀感	[['饱胀感', '饱胀', '感', 0.000182689621080233], ['饱胀感', '饱', '胀感', 0.011772853185595568]]
饮食控制血糖	[['饮食控制血糖', '饮食控制', '血糖', 0.0015705311250713877], ['饮食控制血糖', '饮食', '控制血糖', 0.01]]
饮食控制	[['饮食控制', '饮食', '控制', 0.00275974025974026]]
饮食呛咳	[['饮食呛咳', '饮食', '呛咳', 0.0005877742946708464]]
饮食后出现腹胀	[['饮食后出现腹胀', '饮食后出现', '腹胀', 2.623184756148745e-05], ['饮食后出现腹胀', '饮食', '后出现腹胀', 0.0014204545454545455]]
饮食后出现腹痛	[['饮食后出现腹痛', '饮食后出现', '腹痛', 1.321492758219685e-05], ['饮食后出现腹痛', '饮食', '后出现腹痛', 0.00034286833855799373]]
饮食后出现腹泻	[['饮食后出现腹泻', '饮食后出现', '腹泻', 7.031636740020701e-06], ['饮食后出现腹泻', '饮食', '后出现腹泻', 0.000946969696969697]]
饮食后出现上腹痛	[['饮食后出现上腹痛', '饮食后出现', '上腹痛', 0.00011610934182590234], ['饮食后出现上腹痛', '饮食', '后出现上腹痛', 0.0008646245059288538]]
饮食后出现	[['饮食后出现', '饮食', '后出现', 5.946953177655315e-05]]
饮食可	[['饮食可', '饮食', '可', 2.798925212718316e-05]]
饮食及运动控制血糖	[['饮食及运动控制血糖', '饮食及运动控制', '血糖', 0.0007722859664607238]]
饮食减少	[['饮食减少', '饮食', '减少', 0.0004503880266075388]]
饮食不规律	[['饮食不规律', '饮食', '不规律', 0.00018161062681610628], ['饮食不规律', '饮食不', '规律', 0.001994870333428327]]
饮食不	[['饮食不', '饮食', '不', 7.750496031746031e-06]]
饮酒后加重	[['饮酒后加重', '饮酒后', '加重', 1.0936132983377077e-05], ['饮酒后加重', '饮酒', '后加重', 0.0002571520411443266]]
饮酒后出现头痛	[['饮酒后出现头痛', '饮酒后出现', '头痛', 2.254384778393976e-05], ['饮酒后出现头痛', '饮酒后', '出现头痛', 0.00018870772946859903], ['饮酒后出现头痛', '饮酒', '后出现头痛', 0.0005357334190506804]]
饮酒后出现上腹痛	[['饮酒后出现上腹痛', '饮酒后出现', '上腹痛', 0.00019904458598726116], ['饮酒后出现上腹痛', '饮酒后', '出现上腹痛', 0.0003360215053763441], ['饮酒后出现上腹痛', '饮酒', '后出现上腹痛', 0.0005939653124257543]]
饮酒后出现	[['饮酒后出现', '饮酒后', '出现', 8.640951195907645e-06], ['饮酒后出现', '饮酒', '后出现', 2.3831142059820934e-05], ['饮酒后出现', '饮', '酒后出现', 0.010683760683760684]]
饮酒后	[['饮酒后', '饮酒', '后', 2.237344495817914e-05], ['饮酒后', '饮', '酒后', 0.024291497975708502]]
饮酒史	[['饮酒史', '饮酒', '史', 9.805200507824123e-06]]
饮白酒	[['饮白酒', '饮', '白酒', 0.0014423076923076924]]
