0	1	2
无明显诱因出现阴道少许咖啡色分泌物	6	[['无明显诱因出现', '阴道少许咖啡色分泌物', 4.25], ['无明显诱因出现阴道', '少许咖啡色分泌物', 877.19], ['无明显诱因出现阴道少许', '咖啡色分泌物', 884.96]]
无明显诱因出现阴道少许咖啡色分泌物	6	[['无明显诱因出现', '阴道少许咖啡色分泌物', 4.25], ['无明显诱因出现阴道', '少许咖啡色分泌物', 877.19], ['无明显诱因出现阴道少许', '咖啡色分泌物', 884.96]]
无明显诱因下开始出现阵发性单声咳嗽	7	-
未能了解输卵管通畅程度及盆腔情况	63	-
无明显诱因出现右胁腹部阵发性绞痛	19	-
无明显诱因出现左胁腹部阵发性绞痛	40	-
无明显诱因下出现全身皮肤散在皮疹	8	[['无明显诱因下出现', '全身皮肤散在皮疹', 15.54], ['无明显诱因下', '出现全身皮肤散在皮疹', 32.98]]
无明显诱因下出现全身皮肤散在皮疹	8	[['无明显诱因下出现', '全身皮肤散在皮疹', 15.54], ['无明显诱因下', '出现全身皮肤散在皮疹', 32.98]]
患者数日前出现右上后牙自发性疼痛	14	[['患者数日前出现', '右上后牙自发性疼痛', 28571.43]]
进食不洁食物后出现脐周阵发性绞痛	5	[['进食不洁食物后', '出现脐周阵发性绞痛', 1893.94], ['进食不洁食物', '后出现脐周阵发性绞痛', 2380.95]]
进食不洁食物后出现脐周阵发性绞痛	5	[['进食不洁食物后', '出现脐周阵发性绞痛', 1893.94], ['进食不洁食物', '后出现脐周阵发性绞痛', 2380.95]]
患者数日前出现左上后牙自发性疼痛	8	[['患者数日前出现', '左上后牙自发性疼痛', 6722.69], ['患者数日前出现左上', '后牙自发性疼痛', 16666.67]]
患者数日前出现左上后牙自发性疼痛	8	[['患者数日前出现', '左上后牙自发性疼痛', 6722.69], ['患者数日前出现左上', '后牙自发性疼痛', 16666.67]]
无明显诱因出现左胁腰部阵发性绞痛	7	-
患者数日前出现左下后牙自发性疼痛	14	[['患者数日前出现', '左下后牙自发性疼痛', 13333.33]]
患者数日前出现右下后牙自发性疼痛	16	[['患者数日前出现', '右下后牙自发性疼痛', 16326.53]]
无明显诱因出现右胁腰部阵发性绞痛	8	-
在外院予以药物治疗后症状未见缓解	6	[['在外院', '予以药物治疗后症状未见缓解', 130.72], ['在外院予以药物治疗后', '症状未见缓解', 3225.81]]
在外院予以药物治疗后症状未见缓解	6	[['在外院', '予以药物治疗后症状未见缓解', 130.72], ['在外院予以药物治疗后', '症状未见缓解', 3225.81]]
小时前在密闭冲凉房洗澡后出现头晕	5	-
患者数天前出现右下后牙充填物掉落	5	-
无明显诱因下开始出现阵发性咳嗽	1256	[['无明显诱因下开始出现', '阵发性咳嗽', 172.94], ['无明显诱因下', '开始出现阵发性咳嗽', 8628.74], ['无明显诱因下开始', '出现阵发性咳嗽', 275438.6]]
无明显诱因下开始出现阵发性咳嗽	1256	[['无明显诱因下开始出现', '阵发性咳嗽', 172.94], ['无明显诱因下', '开始出现阵发性咳嗽', 8628.74], ['无明显诱因下开始', '出现阵发性咳嗽', 275438.6]]
无明显诱因下开始出现阵发性咳嗽	1256	[['无明显诱因下开始出现', '阵发性咳嗽', 172.94], ['无明显诱因下', '开始出现阵发性咳嗽', 8628.74], ['无明显诱因下开始', '出现阵发性咳嗽', 275438.6]]
我院宫腔镜检查提示宫腔形态正常	17	[['我院宫腔镜检查提示', '宫腔形态正常', 3541.67], ['我院宫腔镜检查提示宫腔', '形态正常', 7083.33], ['我院宫腔镜检查', '提示宫腔形态正常', 10000.0]]
我院宫腔镜检查提示宫腔形态正常	17	[['我院宫腔镜检查提示', '宫腔形态正常', 3541.67], ['我院宫腔镜检查提示宫腔', '形态正常', 7083.33], ['我院宫腔镜检查', '提示宫腔形态正常', 10000.0]]
我院宫腔镜检查提示宫腔形态正常	17	[['我院宫腔镜检查提示', '宫腔形态正常', 3541.67], ['我院宫腔镜检查提示宫腔', '形态正常', 7083.33], ['我院宫腔镜检查', '提示宫腔形态正常', 10000.0]]
患者数月前出现左上后牙食物嵌塞	5	[['患者数月前出现', '左上后牙食物嵌塞', 1838.24]]
因吃鱼虾后出现全身皮肤散在皮疹	35	-
无明显兴趣下降及意志活动力下降	31	[['无', '明显兴趣下降及意志活动力下降', 1.28], ['无明显', '兴趣下降及意志活动力下降', 1.98]]
无明显兴趣下降及意志活动力下降	31	[['无', '明显兴趣下降及意志活动力下降', 1.28], ['无明显', '兴趣下降及意志活动力下降', 1.98]]
无明显诱因出现右下腹阵发性疼痛	5	[['无明显诱因出现右下腹', '阵发性疼痛', 153.05]]
患者于昨日起反复出现上腹部胀痛	6	-
半天前进食生冷食物后出现上腹痛	5	-
可引出兴趣下降及意志活动力下降	31	[['可引出', '兴趣下降及意志活动力下降', 180.91]]
无明显诱因出现左侧肢体麻木乏力	9	[['无明显诱因出现左侧', '肢体麻木乏力', 1740.81]]
患者于半小时余前被人打伤致头部	6	[['患者于半', '小时余前被人打伤致头部', 3000.0]]
于我科行局部冲洗后症状明显好转	30	-
躯干及双下肢皮肤出现风团样皮疹	7	-
患者数月前出现右上后牙食物嵌塞	5	[['患者数月前出现', '右上后牙食物嵌塞', 1953.12]]
鼻窦分泌物培养为金黄色葡萄球菌	5	-
患者数月前出现左下后牙食物嵌塞	5	[['患者数月前出现', '左下后牙食物嵌塞', 1302.08]]
患者数天前出现左上后牙咬物不适	5	[['患者数天前出现左上', '后牙咬物不适', 1253.13], ['患者数天前出现', '左上后牙咬物不适', 5681.82]]
患者数天前出现左上后牙咬物不适	5	[['患者数天前出现左上', '后牙咬物不适', 1253.13], ['患者数天前出现', '左上后牙咬物不适', 5681.82]]
无明显诱因开始出现阵发性咳嗽	1240	[['无明显诱因开始出现阵发性', '咳嗽', 82.21], ['无明显诱因开始出现', '阵发性咳嗽', 320.87], ['无明显诱因', '开始出现阵发性咳嗽', 7099.51], ['无明显诱因开始', '出现阵发性咳嗽', 21174.86]]
无明显诱因开始出现阵发性咳嗽	1240	[['无明显诱因开始出现阵发性', '咳嗽', 82.21], ['无明显诱因开始出现', '阵发性咳嗽', 320.87], ['无明显诱因', '开始出现阵发性咳嗽', 7099.51], ['无明显诱因开始', '出现阵发性咳嗽', 21174.86]]
无明显诱因开始出现阵发性咳嗽	1240	[['无明显诱因开始出现阵发性', '咳嗽', 82.21], ['无明显诱因开始出现', '阵发性咳嗽', 320.87], ['无明显诱因', '开始出现阵发性咳嗽', 7099.51], ['无明显诱因开始', '出现阵发性咳嗽', 21174.86]]
无明显诱因开始出现阵发性咳嗽	1240	[['无明显诱因开始出现阵发性', '咳嗽', 82.21], ['无明显诱因开始出现', '阵发性咳嗽', 320.87], ['无明显诱因', '开始出现阵发性咳嗽', 7099.51], ['无明显诱因开始', '出现阵发性咳嗽', 21174.86]]
无明显诱因出现左上肢末端麻木	16	-
小时前开始出现阴道血性分泌物	12	[['小时前开始出现', '阴道血性分泌物', 47.68], ['小时前开始', '出现阴道血性分泌物', 375.47]]
小时前开始出现阴道血性分泌物	12	[['小时前开始出现', '阴道血性分泌物', 47.68], ['小时前开始', '出现阴道血性分泌物', 375.47]]
无明显诱因出现阴道少许暗红色	5	[['无明显诱因出现', '阴道少许暗红色', 1.68], ['无明显诱因', '出现阴道少许暗红色', 34.35], ['无明显诱因出现阴道少许', '暗红色', 142.69], ['无明显诱因出现阴道', '少许暗红色', 2024.29]]
无明显诱因出现阴道少许暗红色	5	[['无明显诱因出现', '阴道少许暗红色', 1.68], ['无明显诱因', '出现阴道少许暗红色', 34.35], ['无明显诱因出现阴道少许', '暗红色', 142.69], ['无明显诱因出现阴道', '少许暗红色', 2024.29]]
无明显诱因出现阴道少许暗红色	5	[['无明显诱因出现', '阴道少许暗红色', 1.68], ['无明显诱因', '出现阴道少许暗红色', 34.35], ['无明显诱因出现阴道少许', '暗红色', 142.69], ['无明显诱因出现阴道', '少许暗红色', 2024.29]]
无明显诱因出现阴道少许暗红色	5	[['无明显诱因出现', '阴道少许暗红色', 1.68], ['无明显诱因', '出现阴道少许暗红色', 34.35], ['无明显诱因出现阴道少许', '暗红色', 142.69], ['无明显诱因出现阴道', '少许暗红色', 2024.29]]
计划怀孕至今未避孕半年余未孕	16	-
无明显诱因下出现左耳听力下降	23	[['无明显诱因下出现', '左耳听力下降', 39.98], ['无明显诱因下出现左耳', '听力下降', 268.63]]
无明显诱因下出现左耳听力下降	23	[['无明显诱因下出现', '左耳听力下降', 39.98], ['无明显诱因下出现左耳', '听力下降', 268.63]]
患者半年前开始出现双下肢红斑	7	[['患者半年前开始出现', '双下肢红斑', 720.16]]
型睡眠呼吸暂停低通气综合征并	18	[['型', '睡眠呼吸暂停低通气综合征并', 347.49]]
患者于数日前出现右下后牙疼痛	8	[['患者于', '数日前出现右下后牙疼痛', 122.14]]
输卵管造影提示双侧输卵管通畅	5	[['输卵管造影提示', '双侧输卵管通畅', 2.08], ['输卵管造影', '提示双侧输卵管通畅', 194.25], ['输卵管', '造影提示双侧输卵管通畅', 442.48]]
输卵管造影提示双侧输卵管通畅	5	[['输卵管造影提示', '双侧输卵管通畅', 2.08], ['输卵管造影', '提示双侧输卵管通畅', 194.25], ['输卵管', '造影提示双侧输卵管通畅', 442.48]]
输卵管造影提示双侧输卵管通畅	5	[['输卵管造影提示', '双侧输卵管通畅', 2.08], ['输卵管造影', '提示双侧输卵管通畅', 194.25], ['输卵管', '造影提示双侧输卵管通畅', 442.48]]
无明显诱因出现左侧腰背部疼痛	8	[['无明显诱因出现', '左侧腰背部疼痛', 7.84], ['无明显诱因出现左侧', '腰背部疼痛', 395.84]]
无明显诱因出现左侧腰背部疼痛	8	[['无明显诱因出现', '左侧腰背部疼痛', 7.84], ['无明显诱因出现左侧', '腰背部疼痛', 395.84]]
伴有兴趣下降及意志活动力下降	40	[['伴有', '兴趣下降及意志活动力下降', 3.79]]
夜间阵发性呼吸困难及端坐呼吸	35	-
无明显诱因出现双侧膝关节疼痛	10	[['无明显诱因出现', '双侧膝关节疼痛', 5.1], ['无明显诱因出现双侧', '膝关节疼痛', 1183.43]]
无明显诱因出现双侧膝关节疼痛	10	[['无明显诱因出现', '双侧膝关节疼痛', 5.1], ['无明显诱因出现双侧', '膝关节疼痛', 1183.43]]
月经干净后同房使用避孕套避孕	13	[['月经干净后', '同房使用避孕套避孕', 289.27], ['月经干净后同房', '使用避孕套避孕', 671.83]]
月经干净后同房使用避孕套避孕	13	[['月经干净后', '同房使用避孕套避孕', 289.27], ['月经干净后同房', '使用避孕套避孕', 671.83]]
无明显诱因出现阴道血性分泌物	5	[['无明显诱因出现', '阴道血性分泌物', 0.45], ['无明显', '诱因出现阴道血性分泌物', 8.12], ['无明显诱因', '出现阴道血性分泌物', 10.1], ['无明显诱因出现阴道', '血性分泌物', 63.72]]
无明显诱因出现阴道血性分泌物	5	[['无明显诱因出现', '阴道血性分泌物', 0.45], ['无明显', '诱因出现阴道血性分泌物', 8.12], ['无明显诱因', '出现阴道血性分泌物', 10.1], ['无明显诱因出现阴道', '血性分泌物', 63.72]]
无明显诱因出现阴道血性分泌物	5	[['无明显诱因出现', '阴道血性分泌物', 0.45], ['无明显', '诱因出现阴道血性分泌物', 8.12], ['无明显诱因', '出现阴道血性分泌物', 10.1], ['无明显诱因出现阴道', '血性分泌物', 63.72]]
无明显诱因出现阴道血性分泌物	5	[['无明显诱因出现', '阴道血性分泌物', 0.45], ['无明显', '诱因出现阴道血性分泌物', 8.12], ['无明显诱因', '出现阴道血性分泌物', 10.1], ['无明显诱因出现阴道', '血性分泌物', 63.72]]
无明显诱因出现脐周阵发性隐痛	7	[['无明显诱因出现', '脐周阵发性隐痛', 1.02], ['无明显诱因出现脐周', '阵发性隐痛', 81.59]]
无明显诱因出现脐周阵发性隐痛	7	[['无明显诱因出现', '脐周阵发性隐痛', 1.02], ['无明显诱因出现脐周', '阵发性隐痛', 81.59]]
患者于数日前出现左下后牙疼痛	7	-
无明显诱因出现右侧腰腹部疼痛	41	[['无明显诱因出现', '右侧腰腹部疼痛', 65.29], ['无明显诱因出现右侧', '腰腹部疼痛', 11953.35]]
无明显诱因出现右侧腰腹部疼痛	41	[['无明显诱因出现', '右侧腰腹部疼痛', 65.29], ['无明显诱因出现右侧', '腰腹部疼痛', 11953.35]]
否认兴趣下降及意志活动力下降	19	[['否认', '兴趣下降及意志活动力下降', 2.31]]
我院早孕期唐氏筛查示双胎之一	6	-
患者半月前开始出现咳嗽咯黄痰	8	[['患者半月前开始出现', '咳嗽咯黄痰', 9.4], ['患者半月前开始出现咳嗽', '咯黄痰', 11.93], ['患者半月前开始', '出现咳嗽咯黄痰', 4040.4]]
患者半月前开始出现咳嗽咯黄痰	8	[['患者半月前开始出现', '咳嗽咯黄痰', 9.4], ['患者半月前开始出现咳嗽', '咯黄痰', 11.93], ['患者半月前开始', '出现咳嗽咯黄痰', 4040.4]]
患者半月前开始出现咳嗽咯黄痰	8	[['患者半月前开始出现', '咳嗽咯黄痰', 9.4], ['患者半月前开始出现咳嗽', '咯黄痰', 11.93], ['患者半月前开始', '出现咳嗽咯黄痰', 4040.4]]
无明显诱因出现左侧腰腹部疼痛	45	[['无明显诱因出现', '左侧腰腹部疼痛', 63.69], ['无明显诱因出现左侧', '腰腹部疼痛', 13677.81]]
无明显诱因出现左侧腰腹部疼痛	45	[['无明显诱因出现', '左侧腰腹部疼痛', 63.69], ['无明显诱因出现左侧', '腰腹部疼痛', 13677.81]]
无明显诱因出现上腹阵发性绞痛	6	[['无明显诱因出现上腹', '阵发性绞痛', 5.93], ['无明显诱因出现', '上腹阵发性绞痛', 9.55]]
无明显诱因出现上腹阵发性绞痛	6	[['无明显诱因出现上腹', '阵发性绞痛', 5.93], ['无明显诱因出现', '上腹阵发性绞痛', 9.55]]
明显兴趣下降及意志活动力下降	9	[['明显', '兴趣下降及意志活动力下降', 0.47]]
无明显诱因出现上腹阵发性疼痛	8	[['无明显诱因出现上腹', '阵发性疼痛', 34.98]]
无明显诱因出现右侧季肋部疼痛	6	[['无明显诱因出现', '右侧季肋部疼痛', 10.92], ['无明显诱因出现右侧', '季肋部疼痛', 720.29]]
无明显诱因出现右侧季肋部疼痛	6	[['无明显诱因出现', '右侧季肋部疼痛', 10.92], ['无明显诱因出现右侧', '季肋部疼痛', 720.29]]
无明显诱因出现右上肢末端麻木	9	-
不明原因出现全身皮肤散在皮疹	11	[['不明原因出现', '全身皮肤散在皮疹', 41.32], ['不明原因', '出现全身皮肤散在皮疹', 2075.47]]
不明原因出现全身皮肤散在皮疹	11	[['不明原因出现', '全身皮肤散在皮疹', 41.32], ['不明原因', '出现全身皮肤散在皮疹', 2075.47]]
患者于数日前出现右上后牙疼痛	10	-
患者半天前觉脐上方阵发性疼痛	6	[['患者半天前', '觉脐上方阵发性疼痛', 65.57]]
患者于数日前出现左上后牙疼痛	10	[['患者于', '数日前出现左上后牙疼痛', 152.67]]
无明显诱因出现左侧腰腹部绞痛	5	[['无明显诱因出现', '左侧腰腹部绞痛', 12.74]]
无明显诱因下突然全身皮肤出现	15	[['无明显诱因下突然', '全身皮肤出现', 2343.75]]
无明显诱因下开始出现皮肤黄染	12	[['无明显诱因下开始出现', '皮肤黄染', 14.01], ['无明显诱因下开始', '出现皮肤黄染', 394.74]]
无明显诱因下开始出现皮肤黄染	12	[['无明显诱因下开始出现', '皮肤黄染', 14.01], ['无明显诱因下开始', '出现皮肤黄染', 394.74]]
患者一周前受凉后开始出现咽痛	5	[['患者一周前', '受凉后开始出现咽痛', 350.88]]
无明显诱因出现散在粟粒样皮疹	5	[['无明显诱因', '出现散在粟粒样皮疹', 21.47]]
无明显诱因出现脐周阵发性绞痛	13	[['无明显诱因出现', '脐周阵发性绞痛', 0.27], ['无明显诱因出现脐周', '阵发性绞痛', 15.21], ['无明显诱因', '出现脐周阵发性绞痛', 18.61]]
无明显诱因出现脐周阵发性绞痛	13	[['无明显诱因出现', '脐周阵发性绞痛', 0.27], ['无明显诱因出现脐周', '阵发性绞痛', 15.21], ['无明显诱因', '出现脐周阵发性绞痛', 18.61]]
无明显诱因出现脐周阵发性绞痛	13	[['无明显诱因出现', '脐周阵发性绞痛', 0.27], ['无明显诱因出现脐周', '阵发性绞痛', 15.21], ['无明显诱因', '出现脐周阵发性绞痛', 18.61]]
因胚胎停育在当地医院行清宫术	12	[['因胚胎停育', '在当地医院行清宫术', 4301.08]]
患者于今早起床后突然出现头晕	6	-
昨日外院彩超提示宫腔粘连可能	8	-
睡眠呼吸暂停低通气综合征病史	5	[['睡眠呼吸暂停低通气综合征', '病史', 1.99]]
无明显诱因出现右侧腰背部疼痛	11	[['无明显诱因出现', '右侧腰背部疼痛', 10.78], ['无明显诱因出现右侧', '腰背部疼痛', 522.07]]
无明显诱因出现右侧腰背部疼痛	11	[['无明显诱因出现', '右侧腰背部疼痛', 10.78], ['无明显诱因出现右侧', '腰背部疼痛', 522.07]]
患者于半小时前开始出现头晕	12	[['患者于半小时前', '开始出现头晕', 134.53], ['患者于半', '小时前开始出现头晕', 524.02]]
患者于半小时前开始出现头晕	12	[['患者于半小时前', '开始出现头晕', 134.53], ['患者于半', '小时前开始出现头晕', 524.02]]
无明显诱因出现双侧乳房胀痛	24	[['无明显诱因出现', '双侧乳房胀痛', 19.11], ['无明显诱因出现双侧', '乳房胀痛', 983.61]]
无明显诱因出现双侧乳房胀痛	24	[['无明显诱因出现', '双侧乳房胀痛', 19.11], ['无明显诱因出现双侧', '乳房胀痛', 983.61]]
为进一步诊治到我院门诊就诊	596	[['为进一步诊治', '到我院门诊就诊', 15889.1]]
患者昨天开始出现咳嗽咯痰少	17	[['患者昨天开始出现', '咳嗽咯痰少', 97.14], ['患者昨天', '开始出现咳嗽咯痰少', 127.53]]
患者昨天开始出现咳嗽咯痰少	17	[['患者昨天开始出现', '咳嗽咯痰少', 97.14], ['患者昨天', '开始出现咳嗽咯痰少', 127.53]]
胎儿染色体快速基因检测提示	9	[['胎儿', '染色体快速基因检测提示', 151.16]]
患者半日前开始出现发热畏寒	93	[['患者半日前开始出现', '发热畏寒', 794.87], ['患者半', '日前开始出现发热畏寒', 1234.57]]
患者半日前开始出现发热畏寒	93	[['患者半日前开始出现', '发热畏寒', 794.87], ['患者半', '日前开始出现发热畏寒', 1234.57]]
患者一年前随月经周期规律性	157	[['患者', '一年前随月经周期规律性', 6.35], ['患者一年前', '随月经周期规律性', 1944.75]]
患者一年前随月经周期规律性	157	[['患者', '一年前随月经周期规律性', 6.35], ['患者一年前', '随月经周期规律性', 1944.75]]
无明显诱因出现左踝关节疼痛	11	[['无明显诱因出现', '左踝关节疼痛', 8.76]]
无明显诱因下出现双下肢水肿	98	[['无明显诱因下出现', '双下肢水肿', 18.13], ['无明显诱因下', '出现双下肢水肿', 201.98]]
无明显诱因下出现双下肢水肿	98	[['无明显诱因下出现', '双下肢水肿', 18.13], ['无明显诱因下', '出现双下肢水肿', 201.98]]
无明显诱因出现双侧腰部疼痛	82	[['无明显诱因出现', '双侧腰部疼痛', 208.92], ['无明显诱因', '出现双侧腰部疼痛', 469.48], ['无明显诱因出现双侧', '腰部疼痛', 2813.04]]
无明显诱因出现双侧腰部疼痛	82	[['无明显诱因出现', '双侧腰部疼痛', 208.92], ['无明显诱因', '出现双侧腰部疼痛', 469.48], ['无明显诱因出现双侧', '腰部疼痛', 2813.04]]
无明显诱因出现双侧腰部疼痛	82	[['无明显诱因出现', '双侧腰部疼痛', 208.92], ['无明显诱因', '出现双侧腰部疼痛', 469.48], ['无明显诱因出现双侧', '腰部疼痛', 2813.04]]
外院通水提示双侧输卵管通畅	8	[['外院通水', '提示双侧输卵管通畅', 3463.2]]
无明显诱因出现右侧肢体乏力	26	[['无明显诱因出现', '右侧肢体乏力', 2.49], ['无明显诱因出现右侧肢体', '乏力', 16.97], ['无明显诱因', '出现右侧肢体乏力', 33.08], ['无明显诱因出现右侧', '肢体乏力', 43.74]]
无明显诱因出现右侧肢体乏力	26	[['无明显诱因出现', '右侧肢体乏力', 2.49], ['无明显诱因出现右侧肢体', '乏力', 16.97], ['无明显诱因', '出现右侧肢体乏力', 33.08], ['无明显诱因出现右侧', '肢体乏力', 43.74]]
无明显诱因出现右侧肢体乏力	26	[['无明显诱因出现', '右侧肢体乏力', 2.49], ['无明显诱因出现右侧肢体', '乏力', 16.97], ['无明显诱因', '出现右侧肢体乏力', 33.08], ['无明显诱因出现右侧', '肢体乏力', 43.74]]
无明显诱因出现右侧肢体乏力	26	[['无明显诱因出现', '右侧肢体乏力', 2.49], ['无明显诱因出现右侧肢体', '乏力', 16.97], ['无明显诱因', '出现右侧肢体乏力', 33.08], ['无明显诱因出现右侧', '肢体乏力', 43.74]]
无明显诱因出现双膝关节疼痛	20	[['无明显诱因出现', '双膝关节疼痛', 1.05], ['无明显诱因出现双', '膝关节疼痛', 910.33]]
无明显诱因出现双膝关节疼痛	20	[['无明显诱因出现', '双膝关节疼痛', 1.05], ['无明显诱因出现双', '膝关节疼痛', 910.33]]
休息后或服用硝酸甘油后缓解	107	-
无明显诱因出现全身皮肤瘙痒	12	[['无明显诱因出现', '全身皮肤瘙痒', 2.15], ['无明显诱因', '出现全身皮肤瘙痒', 5.42], ['无明显诱因出现全身', '皮肤瘙痒', 185.7]]
无明显诱因出现全身皮肤瘙痒	12	[['无明显诱因出现', '全身皮肤瘙痒', 2.15], ['无明显诱因', '出现全身皮肤瘙痒', 5.42], ['无明显诱因出现全身', '皮肤瘙痒', 185.7]]
无明显诱因出现全身皮肤瘙痒	12	[['无明显诱因出现', '全身皮肤瘙痒', 2.15], ['无明显诱因', '出现全身皮肤瘙痒', 5.42], ['无明显诱因出现全身', '皮肤瘙痒', 185.7]]
患者半小时前开始出现上腹痛	9	[['患者半小时前', '开始出现上腹痛', 215.93], ['患者半', '小时前开始出现上腹痛', 518.43]]
患者半小时前开始出现上腹痛	9	[['患者半小时前', '开始出现上腹痛', 215.93], ['患者半', '小时前开始出现上腹痛', 518.43]]
无明显诱因出现右侧腰部疼痛	26	[['无明显诱因出现', '右侧腰部疼痛', 6.76], ['无明显诱因', '出现右侧腰部疼痛', 14.41], ['无明显诱因出现右侧', '腰部疼痛', 91.01]]
无明显诱因出现右侧腰部疼痛	26	[['无明显诱因出现', '右侧腰部疼痛', 6.76], ['无明显诱因', '出现右侧腰部疼痛', 14.41], ['无明显诱因出现右侧', '腰部疼痛', 91.01]]
无明显诱因出现右侧腰部疼痛	26	[['无明显诱因出现', '右侧腰部疼痛', 6.76], ['无明显诱因', '出现右侧腰部疼痛', 14.41], ['无明显诱因出现右侧', '腰部疼痛', 91.01]]
近半个月来右下后牙反复肿痛	11	[['近半个月来', '右下后牙反复肿痛', 3021.98]]
患者半小时前被人殴打致头部	10	[['患者半', '小时前被人殴打致头部', 6451.61]]
为进一步诊治到我院门诊治疗	19	-
无明显诱因下出现阵发性咳嗽	5	[['无明显诱因下出现', '阵发性咳嗽', 0.15], ['无明显诱因下', '出现阵发性咳嗽', 17.18]]
无明显诱因下出现阵发性咳嗽	5	[['无明显诱因下出现', '阵发性咳嗽', 0.15], ['无明显诱因下', '出现阵发性咳嗽', 17.18]]
无明显诱因出现左脚踇趾疼痛	8	-
无明显诱因出现右脚踇趾疼痛	12	-
患者半天前开始出现恶心呕吐	57	[['患者半天前开始出现', '恶心呕吐', 65.73], ['患者半天前开始', '出现恶心呕吐', 10795.45]]
患者半天前开始出现恶心呕吐	57	[['患者半天前开始出现', '恶心呕吐', 65.73], ['患者半天前开始', '出现恶心呕吐', 10795.45]]
外院宫腔镜检查提示宫腔粘连	8	[['外院', '宫腔镜检查提示宫腔粘连', 15.94], ['外院宫腔镜检查', '提示宫腔粘连', 2675.59]]
外院宫腔镜检查提示宫腔粘连	8	[['外院', '宫腔镜检查提示宫腔粘连', 15.94], ['外院宫腔镜检查', '提示宫腔粘连', 2675.59]]
无明显诱因出现上腹胀闷不适	23	[['无明显诱因出现', '上腹胀闷不适', 8.88], ['无明显诱因出现上腹', '胀闷不适', 3733.77]]
无明显诱因出现上腹胀闷不适	23	[['无明显诱因出现', '上腹胀闷不适', 8.88], ['无明显诱因出现上腹', '胀闷不适', 3733.77]]
突然全身皮肤出现风团样皮疹	7	[['突然', '全身皮肤出现风团样皮疹', 347.39]]
无明显诱因出现右侧肾区疼痛	7	[['无明显诱因出现右侧', '肾区疼痛', 1785.71]]
无明显诱因出现左膝关节疼痛	29	[['无明显诱因出现', '左膝关节疼痛', 3.97], ['无明显', '诱因出现左膝关节疼痛', 56.54], ['无明显诱因', '出现左膝关节疼痛', 110.69]]
无明显诱因出现左膝关节疼痛	29	[['无明显诱因出现', '左膝关节疼痛', 3.97], ['无明显', '诱因出现左膝关节疼痛', 56.54], ['无明显诱因', '出现左膝关节疼痛', 110.69]]
无明显诱因出现左膝关节疼痛	29	[['无明显诱因出现', '左膝关节疼痛', 3.97], ['无明显', '诱因出现左膝关节疼痛', 56.54], ['无明显诱因', '出现左膝关节疼痛', 110.69]]
患者半天前觉脐周阵发性疼痛	31	[['患者', '半天前觉脐周阵发性疼痛', 22.82], ['患者半天前', '觉脐周阵发性疼痛', 63.92], ['患者半天前觉脐周', '阵发性疼痛', 1491.1], ['患者半天前觉', '脐周阵发性疼痛', 2935.61]]
患者半天前觉脐周阵发性疼痛	31	[['患者', '半天前觉脐周阵发性疼痛', 22.82], ['患者半天前', '觉脐周阵发性疼痛', 63.92], ['患者半天前觉脐周', '阵发性疼痛', 1491.1], ['患者半天前觉', '脐周阵发性疼痛', 2935.61]]
