	0
伴有	5599
能平卧	5542
无腹胀	5510
二便如常	5495
尿	5488
血块	5475
精神可	5360
性	5332
腰痛	5310
伴流涕	5272
性生活	5125
为胃内容物	5092
间	5088
无明显鼻塞	4990
伴鼻塞	4971
间有	4933
无糖尿病史	4863
行	4832
无家禽接触史	4832
末次月经	4734
昨天	4665
打喷嚏	4586
病	4510
发绀	4470
患者平素月经规则	4456
患者既往月经规则	4367
年	4291
无肢体乏力	4287
自觉	4214
力	4126
咳	4105
尿频	4068
体重	4046
有鼻塞	3996
少许咳嗽	3944
无伴胸痛	3934
胃纳正常	3925
无伴流涕	3897
及	3891
胃纳稍差	3867
下腹痛	3851
无明显诱因出现腹痛	3797
少许	3790
无昏迷	3780
缓解	3765
血尿	3764
复诊	3748
否认	3744
高血压病史	3735
外院	3710
无呕血	3699
乳胀	3659
发作	3642
无尿痛	3635
出冷汗	3606
小时	3598
性生活正常	3585
一次	3582
无声嘶	3572
不省人事	3569
今来院急诊	3556
无禽鸟接触史	3556
术后	3532
难咳	3523
咯血	3522
无伴咯血	3522
无伴头痛	3498
偶有	3475
有畏寒	3469
具体不详	3458
非喷射性	3422
不详	3360
目前	3360
一	3296
曾	3289
量多	3281
左右	3248
瘙痒	3228
痰少	3220
无腹泻等	3202
既往	3191
伴瘙痒	3190
至	3186
自服	3178
无恶心呕吐	3170
周身酸痛	3152
色暗红	3130
喘	3126
停经	3104
咽痒	3054
患者平素月经不规则	3049
流血	3040
产后	3011
觉	3002
无明显诱因出现咳嗽	3002
涕	3001
为主	2999
喘息	2996
耳鸣	2982
高	2966
伴畏寒	2912
咳黄白痰	2911
症状	2908
便	2895
量	2891
近日	2884
前区疼痛	2882
年未孕	2852
常规	2842
夜间	2826
无明显诱因	2825
大便烂	2815
血便	2802
予	2801
患儿	2787
无特殊不适	2784
无伴咽痛	2764
无咖啡样物	2762
多次	2742
干咳为主	2734
婚后夫妻同居	2701
女方	2694
上	2689
小	2674
既往月经规律	2672
糖尿病史	2656
每天	2656
昨晚	2626
孕	2615
半天前	2608
等	2601
已行检查	2593
咯黄痰	2588
热	2583
今日	2559
无明显缓解	2555
常	2553
开始	2550
二便调	2514
色鲜红	2512
上腹痛	2486
反复咳嗽	2478
左	2474
胃	2474
全身疼痛	2463
以	2454
大便次数增多	2453
自发	2453
水样便	2441
无明显诱因觉头晕	2435
无明显诱因下	2420
血性	2412
呈阵发性	2408
诊断为	2389
咳黄痰	2378
无明显诱因下开始出现发热	2369
流	2369
无发热畏寒	2351
痰量不多	2349
无伴骨痛	2337
中	2323
有恶心	2320
大便干结	2320
伴气促	2315
痰多	2314
近天	2309
咳嗽咯黄痰	2301
复查	2281
孕期顺利	2279
无粘液	2273
诉	2269
今早	2269
后出现	2267
无口干	2262
二便失禁	2245
声嘶	2244
脓血	2240
头	2235
可	2233
但	2206
无盗汗	2202
至今未孕	2201
量正常	2199
出现发热	2195
痰音	2184
右	2179
全身乏力	2176
伴头晕	2171
平时月经规律	2171
阵发性咳嗽	2161
检查	2158
阴道流血	2153
痰液	2152
无放射至背部	2146
无伴恶心	2146
身高	2146
纳眠一般	2139
鼻塞等	2128
有高血压	2118
有四肢乏力	2114
给予口服降压药治疗	2102
当时	2098
无伴乏力	2094
于	2086
间咳嗽	2076
咳白痰	2076
前来咨询	2073
伴咽痒	2059
曾发热	2036
反复发作	2035
天旋地转感	2032
伴有瘙痒	2028
少痰	2024
院	2017
色暗淡	2013
晚上	2010
呈绞痛样	2007
昨	1989
乏力等不适	1987
多年	1983
胸	1980
大便干	1975
无明显诱因觉上述症状加重	1966
平素月经规则	1946
等病史	1945
每次	1942
下午	1942
未能咯出	1939
无伴咳嗽	1937
黄痰	1933
无吞咽困难	1932
热退	1922
无呕吐胃内容物	1920
既往有	1915
无咯痰	1910
排	1907
无明显好转	1903
少许流涕	1893
自行来诊	1876
高血压病	1876
呈阵发性绞痛	1875
下	1871
无返酸	1871
睡眠正常	1871
气	1867
异常	1860
偶有咳嗽	1858
活动后	1856
大小便如常	1844
冠心病史	1841
度	1835
要求治疗	1833
吐泻	1818
在	1816
胃内容物	1815
无放射痛	1815
服用	1806
曾有	1787
周期	1785
天前	1785
近	1785
自行服用	1779
无特殊	1762
鼻涕	1759
余	1747
无咽痛等	1746
随来我科就诊	1746
病禽接触史	1743
始	1739
持续	1738
胎	1735
查	1723
肌肉酸痛	1720
等不适	1720
外院检查血压	1720
返酸	1697
家族史	1697
等病	1692
无口角歪斜	1691
患者诉	1688
呈	1687
颈	1686
胀痛	1686
鼻	1686
鼻塞流涕	1681
产	1680
多于冬春季发作	1672
持续性	1670
半年	1669
顺产	1668
大汗淋漓	1667
外阴瘙痒	1667
就诊	1665
昨日	1665
视病重来诊	1664
遂来就诊	1664
结婚	1661
始出现发热	1657
口干	1655
否认输血	1651
单活胎	1641
未孕	1641
感乏力	1641
无头晕心悸	1640
否认有	1640
夫妻同居	1637
反复发热	1636
子宫	1634
水	1630
近期	1628
婚后	1625
自诉	1624
肉眼血尿	1623
偶有阵发性咳嗽	1616
出生体重	1613
排稀烂便	1609
白	1606
来诊	1600
不等	1599
患	1593
口	1591
丘疹	1582
当地治疗症状	1581
患者今天	1581
排烂便	1580
面部	1572
大便稀烂	1572
男方	1562
增多	1562
隐痛	1561
黑便	1556
白痰	1551
要求拔除	1549
药	1545
一直未避孕	1543
流涎	1542
无向他处放射	1541
无呛咳	1535
吸烟	1524
高血压史	1524
不规则	1517
未见异常	1514
半小时前	1512
低热	1508
无视物旋转	1499
心悸气短	1497
无明显诱因出现咽痛	1495
无明显诱因下出现	1484
人流	1481
有流鼻涕	1476
有头晕	1471
平素月经规律	1466
干咳	1464
无伴腰痛	1462
骨痛	1461
否认肝炎	1460
数天	1459
加剧	1458
伴有恶心	1457
伴有耳鸣	1453
口服	1450
感冒	1440
不易咳	1439
小时前出现	1430
腹	1428
失眠	1423
偶咳嗽	1411
神志不清	1409
呕吐胃内容	1409
间有咳嗽	1403
左侧	1402
咬物	1401
解	1400
物	1398
体	1394
躯干	1383
疲倦	1373
每年	1369
病以来	1369
伴嗳气	1366
右侧	1362
无伴嗳气	1362
颈椎病	1361
继有咽痛	1361
症状反复	1353
诱因出现	1350
夜间咳为主	1345
脐周为主	1342
既往疫苗接种史	1336
并	1335
皮	1335
体健	1335
反复头晕	1331
起	1331
无明显诱因出现头晕	1328
稍	1324
体检发现	1323
复视	1321
重	1318
排尿	1315
患者于一	1314
仍	1312
呕吐等	1312
较前	1310
患者于	1310
胚胎停育	1310
肺结核等传染病史	1302
体温	1302
无伴有呼吸困难	1301
无伴有	1298
关	1297
酗酒史	1294
自	1289
术	1289
活动受限	1288
患者昨天	1283
过敏	1279
无胸闷胸痛	1276
咽干	1263
流液	1262
病人	1262
治疗后	1257
无明显诱因下开始出现阵发性咳嗽	1256
困难	1256
阵发性绞痛	1255
至今	1254
激素六项示	1253
经期	1250
排黄色水样便	1246
遂来诊	1245
偶	1244
诊断	1244
无明显诱因开始出现阵发性咳嗽	1240
我院	1238
开始出现	1237
内	1234
便秘	1234
现停经	1233
流黄涕	1233
下腹	1232
无咳	1232
否认外伤及手术史	1229
脑梗塞	1228
减轻	1224
腹部不适	1222
红肿	1221
再次	1221
进食后	1217
否认糖尿病	1217
今晨	1211
无视物模糊	1208
粘液	1206
否认高血压	1205
心脏病	1203
自然受孕	1201
背痛	1197
无伴恶心呕吐	1196
无腹痛等	1194
症状加重	1193
肿胀	1193
遗二便	1192
排水样便	1192
偏瘫	1188
自然流产	1186
肿物	1183
今日症状反复来诊	1182
病情	1181
之后	1181
和	1180
流脓	1180
麻木	1175
轻	1170
起病后精神疲倦	1170
转	1168
动物和禽鸟接触史	1168
排便	1168
母乳喂养	1167
血丝	1165
活动	1164
数次	1160
无明显诱因开始出现发热	1159
无伴视物旋转	1156
下腹胀痛	1155
期	1153
妊娠	1152
有咳痰	1152
红	1150
外阴	1146
无呕吐胃内容	1144
脐周	1142
无肢体畏寒	1142
出车接回	1136
少许阴道流血	1135
手术	1130
冷汗	1129
视物模糊	1126
咯白痰	1125
呕咖啡样物	1121
无肢体抽搐	1118
晨起	1116
遂来我院就诊	1113
以吞咽时明显	1112
听力下降	1110
病后胃纳差	1110
服药	1109
见	1103
无伴胸闷	1101
大小	1099
平素	1099
下腹隐痛	1096
要求诊治	1094
不痒	1091
无异味	1089
压	1088
样物	1087
无里急后重	1081
已	1079
无视力障碍	1079
黑朦	1079
物为胃内容物	1079
伴胸闷	1077
肌肉酸痛及关节疼痛	1075
服	1072
要求	1070
上环	1070
两便正常	1069
少量	1067
早孕反应不明显	1064
咳嗽减轻	1063
起皮疹	1060
无伴肢体乏力	1059
清	1055
咳嗽加重	1054
炎	1053
经量中	1050
一般	1050
无咳嗽咯黄痰	1049
牙	1047
行清宫术	1045
未诊治	1045
有高血压病史	1039
无言语不清	1038
外	1035
伴视物旋转	1035
心慌	1030
为非刺激性咳嗽	1030
黄	1027
无肢体	1027
时有	1025
胃纳较差	1023
慢性	1023
未见	1021
异味	1021
呼吸困难	1021
已服退热药	1020
双	1019
无粘液血便	1017
无呼吸困难等不适	1014
冷热刺激痛	1014
天前开始	1013
四肢	1013
咽喉疼痛	1009
乳汁足	1008
出车	1003
症	1002
血压	999
有少量瘀块	996
烂便	993
消瘦	990
性肺疾病	990
液化	988
天旋地转	987
睡眠可	986
呈饱胀样	985
非喷射状	983
排大便	983
见红	980
天旋地转样	978
月经较前减少	977
剑突下	976
干净	974
宫外孕	974
一潮	973
两地分居	970
同房	968
无尿急	966
颈椎病史	965
平素月经周期规律	965
吐	964
干	963
伴排烂便	961
月经量	959
患者本次	958
无呼吸急促	956
来	956
夜尿	956
液	952
伴恶心呕吐	949
精液分析	949
停经验尿妊娠试验阳性	948
要求检查	947
高脂血症	942
进食	941
密度	940
月经周期	939
肢体乏力	938
但反复	932
轻微咳嗽	929
痰黄	929
近来	928
血色紫暗有块	922
未见咖啡样	922
大便黄烂	921
伴咳痰	921
无肢体麻木	918
红斑	914
无阴道流液	914
子宫肌瘤	914
吃奶好	914
为水样便	914
胸痛及气促	914
头孢	913
至今未避孕未孕	912
较多	910
影响进食	910
呼之不应	909
既往月经不规则	909
胃纳好	907
阴道出血	907
患者半天前	907
痰黄稠	906
诱因	905
发热畏寒	900
出汗	900
分钟	895
口渴	894
未见咖啡样物	890
混合喂养	888
黄白痰	884
视物旋转	883
下降	881
颈部	881
阴道分泌物增多	879
数天前	876
时许	875
分	874
年前	873
无效	870
头胀	869
促排卵	869
小时前出现上腹痛	868
月前	866
半天	866
腰	864
寒颤	863
否认糖尿病史	863
数日前	860
糖尿病病史	859
胃纳	858
月经周期延后	855
体检	855
改善	854
下腹阵	850
现腰膝酸软	849
清宫	849
一般情况可	849
产程经过顺利	848
病情稳定	847
逐渐加重	847
色深红	846
诉咽痛	844
心律失常	844
低	843
阴道内射精	843
提示	843
少许痰	842
恶露净	842
无四肢	842
小时前出现头晕	841
无遗传病史	841
夹有少量	837
轻度	837
无伴排黑便	837
黄白色	835
二便	834
跌倒	831
面色晦暗	829
有优势卵泡	827
无端坐呼吸	827
头晕耳鸣	825
自觉胎动正常	825
优生	824
血糖	824
色红	824
无气喘等	823
减少	820
身	820
无偏身感觉障碍	819
无伴头晕	818
药物	815
有所缓解	815
无呕吐等	813
白带	812
月经规律	812
曾在外院就诊	812
经治疗后	811
无明显诱因出现恶心呕吐	807
无明显诱因出现上腹痛	806
鲜红色	804
无视物不清	803
轻咳	802
胃炎	802
咖啡色	802
无肢体活动异常	801
为黄色水样便	801
未见好转	801
未排大便	801
无伴鼻塞	800
有排气	800
示	799
恶寒	799
有高血压史	798
婚后同居	798
过敏性	797
神疲乏力	795
为甚	795
支气管哮喘	793
部	793
开	793
稍伴腰痛	792
无尿	792
呕	792
小时起	792
少许咽痛	791
多饮	790
夹有少量瘀块	788
伴里急后重	787
用药	787
自述	787
有全身疼痛	786
无耳	786
无四肢抽搐	785
无伴手麻	785
无伴畏寒	785
予以	785
本孕为自然妊娠	785
不明原因出现	783
晕厥	782
否认近期有	781
达	780
咯黄白痰	779
非喷射样	779
既往月经不规律	779
减	779
无里急后重感	776
阴道	774
咽	773
出现皮疹	773
鼻炎	772
呈持续性	772
青霉素	770
先后	770
无听力下降	769
今来我科就诊	767
伴乏力	765
痰响	764
夹有	764
多食	762
肺结核	762
存活率	761
咽部不适	761
纳正常	760
心绞痛	758
流产	756
时左右	755
感染	754
无尿频尿急	754
有流脓涕	754
月经来潮	752
治疗后好转	750
流脓涕	750
双侧	749
无浮肿	749
肿痛	748
既往体健	747
无咯黄痰	745
自数胎动正常	742
量稍少	742
对	739
不明显	737
牙关紧闭	737
身上	736
前区	736
正	734
心悸气促	734
出现头晕	733
无伴排烂便	732
一直	731
恶心呕吐	728
白带增多	727
频繁	726
无尿病	725
出现咳嗽	725
不爽	724
肿	724
剖宫产	723
仍有	722
效不佳	720
阵发性加重	719
可见	718
双侧输卵管通畅	718
易	718
皮肤瘙痒	718
中带血	717
不适感	717
片	716
无伴肢体畏寒	714
精神正常	712
半年前	711
肝炎	711
无明显诱因出现阵发性咳嗽	710
阴道分泌物	710
时明显	709
甲功	709
无四肢乏力	708
痰难咯出	708
无排肉眼血尿	704
间伴	704
无遗二便	704
一直未避孕未育	703
不适症状缓解	702
尿酸	702
无声音嘶哑	701
呕吐胃内容物数次	700
未排	700
无烦躁不安	697
状	696
患儿近日出现发热	694
间歇性	694
不畅	693
慢性阻塞	691
腹痛等	691
过敏史	690
无四肢抽搐及大小便失禁	690
晚上较多	690
并有咽痛	689
不能	689
耳	687
饮水呛咳	687
腹部	686
盗汗	685
非天旋地转感	685
急诊	684
难	684
外游史	684
前来就诊	683
孕期	680
用	680
本次	679
声咳	678
昨起	677
反复出现	677
未避孕	676
伴流清涕	675
时加重	675
恶风	674
性质不详	674
压之褪色	673
甲亢	673
少许鼻塞	672
胎动正常	672
柏油样便	671
伴反酸	671
无眩晕	668
曾行	667
排黄色烂便	666
多汗	665
有咽痒	664
无视物重影及眼蒙	663
自行外用	661
患者平素月经欠规则	659
能平卧伴	659
呼吸	659
瘀块	658
宫内妊娠	658
一周	657
血色鲜红	657
丈夫	656
预产期	654
血症	654
喷嚏流涕	654
呈压榨样	653
以脐周为主	651
检	650
出生	649
伴肌肉酸痛	649
无洗米水样大便	649
乙肝	648
缘于	646
可缓解	645
呕吐胃内容物多次	644
慢性胃炎	644
有里急后重感	643
月经干净后	642
全	641
经量少	639
规律	638
无明显诱因出现腹泻	638
呈间歇性	638
休息后可缓解	638
外用	638
白色	638
早上	637
胃纳睡眠一般	637
部分	636
眩晕	636
差	635
已退	635
以来	633
稍好转	632
早孕	630
或	629
促排	629
昨天起	628
最	628
全身	628
药物过敏史	627
流涎等不适	626
中午	625
药流	625
宫颈	624
遇劳则	623
生	623
无糖尿病	622
素	622
每月	621
孕期在我院定期产检	621
脑动脉硬化	621
期间	621
无伴颈部酸胀痛	620
量一般	619
无鼻塞流涕	618
上午	617
关节	617
睡眠差	617
月经规则	617
无发烧	617
脱屑	616
外伤	616
血糖升高	614
手术史	612
咳嗽同前	611
全身酸痛	611
大小便失禁	610
体重下降	610
无明确诱因	608
今来就诊	607
如	605
病程中	605
色黄	603
近半年	603
排黄色稀烂便	602
患儿近天	601
无明显关系	601
周期尚正常	600
上腹部	599
量不多	599
以抗感染	599
动则加剧	599
冠心病等病史	598
少许头痛	598
作	597
为进一步诊治到我院门诊就诊	596
头部	595
色淡	594
为高风险	594
伴有头痛	593
生后	593
全身皮疹	593
患者于今天	593
塞感	592
有高血压病	592
双下肢浮肿	592
并有咽部不适	590
白带常规	590
闷	589
无伴反酸	588
阴性	588
觉头晕	587
有冠心病	585
与进食	585
大便稍烂	585
睡眠欠佳	584
暗红色	584
黄色	581
病史同前	581
转侧不利	580
腹腔镜下	577
发热退	575
患者半天前起	575
以上	575
无排稀烂便	573
数日	573
阳性	572
咽异物感	571
接触	571
无口吐白沫	570
休息后缓解	570
面色苍白	569
自行	569
无组织物排	567
具体	566
活动后加重	566
伴全身乏力	566
较	565
眼	565
否认传染病接触史	564
诊治	564
病人接触史	563
上腹胀痛	563
两次	562
排尿困难	561
哭时有泪	561
胀	560
腰部疼痛	558
无呕吐咖啡样物	556
现计划再次妊娠	556
平喘等对症治疗	555
呈隐痛样	555
长期	555
前列腺增生	555
自诉未见异常	553
剖宫产娩出	551
生化妊娠	550
可自行缓解	549
人工喂养	549
双眼上翻	549
并伴有	549
故来诊	549
开始未避孕	548
微痒	548
有糖尿病史	547
为稀水样便	545
胃纳如常	544
半身不遂	544
女方身高	544
心悸少寐	543
血丝痰	542
空腹	542
白细胞	542
心脏病史	541
性质同前	541
无阴道流血及	541
关节疼痛	540
阵发	540
自测血压	540
神经	539
效果欠佳	538
有咽喉疼痛	536
言语不清	536
绝经	535
呈旋转性	535
月经紊乱	534
后症状	533
咽喉痒	533
气短	533
肢体	532
未见浓血便	531
无向左肩背部放射	530
小便如常	530
口腔溃疡	529
今晚	529
压榨样疼痛	527
已经	527
松动	526
急性	526
否认同房	526
数月	526
无伴有恶心	526
昨晚起	525
常嗳气	525
无其他不适	524
上腹	524
稀烂便	523
无明显诱因出现头痛	523
月经干净	522
吐语不清	521
鼻痒	518
酸痛	518
痛风	517
汗	517
症状缓解	516
喉际发	516
肢体麻木	514
伴肢体不适感	514
倦怠	513
样	510
二	510
半	510
双下肢	509
无视物旋转感	508
牙龈流血	508
行走	508
精神疲倦	508
生活	506
无吞咽	505
量较多	504
冠心病病史	502
脓	501
为食物残渣	500
四肢废楚	500
地贫	500
分泌物	500
仍然	500
有腰痛	500
夜间阵发性呼吸困难	499
夜间明显	499
粘稠	499
好	499
考虑	498
皮肤	497
手麻	497
性交痛	496
面部皮疹	495
水样	495
月经不规律	495
一周前	494
有糖尿病	493
避孕	492
胸闷不适	492
心悸等不适	490
未见单	489
无明显诱因开始	488
吞咽困难	487
外伤史	487
眼花	487
子宫内膜息肉	486
余未见异常	485
数月前	485
胃纳尚可	484
冷热	484
语言不利	483
无特殊病史	483
增大	483
乳房胀痛	483
子宫内膜	482
纳呆	481
测血压	480
同时	479
在我院	479
明显减少	477
以干咳为主	477
未见胚芽	477
一半以上	476
夜间睡眠欠佳	475
发性	475
大便秘结	474
改变	474
脱发	473
肢体酸痛	473
黄体酮	472
时多	470
睡眠	470
经治疗	470
吃奶可	469
患者要求终止妊娠	469
未行	468
无伴肢体不适感	468
大汗	467
月经量少	466
发作性	466
无肛门坠痛	465
自发性疼痛	465
局部	465
此起彼伏	464
患者半小时前	464
退热	464
四	464
骶部疼痛	463
四抗	462
全身起风团	462
为进一步诊治就诊本院	462
刺激性	462
脐周阵发性绞痛	461
阵发性加据	461
间断	461
伴咽部不适	461
无黏液脓血便	460
小时前起	460
双手	459
病变	459
呕吐胃内容数次	459
尿频尿急尿痛	459
在外院	459
同	458
转季时	457
主要表现	457
未见改善	457
咳剧时	457
本孕为自然受孕	457
流泪	457
腹部阵发性绞痛	456
半小时	454
有痰难咳	454
情绪低落	454
夜晚	454
月经干净后未同房	453
不适症状	453
产检	452
患者一	452
患者昨晚	452
胎儿	452
饭后	451
左耳	451
偶咳	451
与	451
有声嘶	451
伤口	450
精神好	449
家人	448
予以药物治疗后症状未缓解	447
胸部	447
阴道少量	447
平	446
既往有高血压	446
患儿大便次数增多	445
剖腹	444
下午出现发热	444
无咽喉疼痛	444
自觉肢体乏力	444
平时	442
化疗	442
周前	442
脸部	441
骨质疏松	441
以夜间明显	440
避孕套避孕	439
不规律	438
白色粘性	438
指导同房未孕	436
口腔	435
头胀感	435
月经周期提	435
咬合痛	434
觉头痛	434
病人自觉头晕	434
结	434
少许头晕	434
后缓解	433
前牙	433
觉咽痛	433
已退热	433
痛甚	432
月经稀	431
息肉	431
腹疼痛	431
有流血	431
右耳	431
右上	430
血压升高	429
偏高	428
平素月经不规则	428
服药后	428
胃纳差来诊	428
曾到外院就诊	427
无明显诱因开始阵发性咳嗽	427
排稀烂水样便	426
食	425
出现腹痛	425
曾多次住院	425
患者平素月经规律	425
编号	424
时隐痛	423
地	422
水疱	422
未见胎心	422
无四肢皮疹	420
下肢浮肿	418
数年	418
纳可	417
多日	417
月经量减少	416
唐筛低风险	416
频	416
食欲	415
痰白	415
四肢乏力	414
水泡	414
者	414
食物嵌塞	413
血性分泌物	413
疼	413
于外院就诊	413
情况	413
时间	413
不利	412
出现恶心	411
内分泌	411
咳黄脓痰	411
无阴道出血	411
的	411
干烂	410
纳减	410
有咽喉不适	409
气促加重	409
个	409
精神食欲可	409
呈糊状	409
顺产后	408
慢性肾功能不全	408
今起	408
物为进食之食物	408
渐加重	408
来我院就诊	407
尿量一般	407
转移	407
前区胸骨后	407
左上	406
自觉心悸	406
左下后牙疼痛	404
宫内	404
最高	404
卧则减轻	404
上腹部阵发性绞痛	403
腿膝	402
有同房	402
遇劳更甚	402
喜按喜揉	402
未曾治疗	402
工作	402
存活	402
无明显诱因下出现腹痛	401
病理	401
白色粘痰	399
无咖啡样或鲜红样物	399
呼	399
百服宁	399
孕期我院定期产检	398
无潺血	398
咽喉红作	398
腰腹痛	398
大便次数增	398
难咯出	398
伴打喷嚏	397
解多次黄色水样便	396
精液	395
疹	395
孕囊	395
大便每天	394
多于	394
则	394
无腹部不适	394
仍发热	393
否认有高血压	393
有痰音	393
到	393
觉肌肉酸痛	393
阴	393
发绀等	392
呈胀痛样	391
背部	391
自行消退	391
近一周	390
脑动脉硬化病史	390
要求助孕	390
甲状腺	389
肺	388
水肿	388
查血	388
午后潮热	387
性交后	387
伴关节肌肉疼痛	387
痰难咳	386
会阴	386
面	386
无抽搐及晕厥	385
活动障碍	385
口苦	385
昨起发热	384
贫血	383
复发	383
第二	381
囊肿	381
足月	380
未见报告	380
咳嗽咯痰少	380
心翳	380
无含粘液脓性	380
本孕	379
尿频尿急	379
因劳累引起上述症状加重	379
尿量正常	378
甲功三项	378
有慢性	378
抗	378
刺	377
右下后牙疼痛	377
患者今日	377
呕奶	377
流鼻	377
未解	376
全身未见皮疹	375
微痛	375
一年	375
患儿昨天	374
停止	374
超声	374
结节	374
无昏厥抽搐	374
经量	374
求治	374
有颈椎病史	373
小腿	373
左下后牙	373
遂	372
热镇痛	372
患者于昨天	372
胎动	371
渐增多	371
无睾丸疼痛	370
哭闹	370
静卧不减	369
患儿昨天前开始出现发热	368
异物感	368
无四肢麻木	368
前区不适	368
无伴视物旋转感	368
胸骨后	368
两天前	368
咳白色粘液痰	368
左上后牙疼痛	367
呈阵发性单咳	367
卵巢囊肿	366
伴腰痛	366
风团	366
吸	366
声	366
为隐痛	365
色白	365
持续数分钟后可自行缓解	364
均	364
无明显诱因下出现咳嗽	363
仍咳嗽	363
结石	363
加	362
注射	362
进行性加重	362
食欲好	362
肿大	361
无明显诱因开始出现咳嗽	361
血型	361
每年持续	360
未见明显异常	360
昨夜	359
患者结婚	359
面色	359
胃药可缓解	358
非旋转性	358
来就诊	358
感伤处疼痛	358
口干口苦	358
当地治疗症状好转	358
取环	358
无明显变化	357
气剧变及冬春季节多	357
支原体	357
双下肢水肿	357
便意	357
孕期外院安胎	357
优势卵泡	356
过	355
颜面	355
避孕措施	355
易呕吐	354
右下后牙	354
伴有咳嗽	354
呈自发性	354
分泌物呈白色豆渣样	353
食物	353
渐	351
胃纳减	351
痰白黄稠	350
确诊慢性阻塞	350
牙龈出血	350
未婚	349
无粘液脓血	349
通畅	349
清水样	348
至今未避孕	347
宫腔	347
自探体温	347
右上后牙疼痛	347
大小便	347
无视物重影	347
反应	347
多囊卵巢综合征	346
入院	346
剧烈	346
无阴道流液等不适	345
明显好转	345
破溃	345
无咳粉红色泡沫痰	345
气紧	344
脂肪肝	344
绞痛	344
不留痕迹	344
阴囊	343
诱	343
偏	343
以活动时多	343
明显增多	343
蚕豆病	343
尿道口烧灼样	342
吞咽	342
夜间疼痛	341
可能	341
急	341
在本院治疗	340
伴胸痛	339
周身乏力	339
消退	339
无排尿困难	338
去年	338
无明显加重	338
口服硝酸甘油后可缓解	338
非咖啡色	338
之前	336
感冒药	336
止痛	335
伴低热	335
诉有	335
刚	335
色	335
排黑便	335
起病以来	335
服药治疗	334
头晕目眩反复发作	334
住院	334
至今未生育	334
宫内孕	334
至今淋漓未净	334
初	334
定期	334
输卵管造影提示	334
粘白	333
再发	333
脓血便	333
声沙	333
有类似病史	332
停药	332
发育	332
重如蒙	332
眼眶痛	331
无伴咯粉红色泡沫痰	331
等治疗	331
病后胃	330
患者昨日	330
无明显诱因出现腹胀	330
无鼻	330
脓涕	330
平时月经周期规则	330
烧心	329
烦躁	329
恶	329
纳	328
小时前病人出现腹痛	328
在外院就诊	328
既往高血压	328
内膜	327
稍有	327
非呈压榨样	327
无明显诱因下开始出现	327
胸骨后或心	326
骨关节病	326
色清	326
咽喉痛	326
接触史	325
为阵发性	325
黄涕	324
出车接回我院	324
有嗳气	324
要求宫腔镜检查	324
月经不规则	324
促	324
乳	324
堵塞感	323
稀薄液体	323
间嗳气	322
无明显诱因出现恶心	322
呈胀痛	322
头晕目眩	322
遂来本院就诊	322
症状好转	322
咳粉红色泡沫痰	322
双手握拳	322
否认外伤史	322
确诊	322
咳黄色粘液痰	322
休息	321
哭声大	321
包皮	320
以脐周	320
双眼凝视	320
昨晚起发热	319
疲乏	319
于我院就诊	319
半月前	319
后妊娠试验阳性	318
患儿昨晚出现发热	318
上呼吸道感染	317
食用	317
此前	317
近两天	317
无偏瘫	317
腹腔镜	316
处理	315
夜	315
喉痒	315
左上后牙	315
否认手术史	314
男方染色体核型为	313
排尿终末时	313
不足	312
数	312
影响日	311
伴气喘	311
