keys,values
经开,160
硚口,159
广安,158
河东,158
金华,158
开州区,158
联合,158
同,157
新城,157
第二人民医院,157
山西,157
里社区卫生服务站,157
第二卫生室,157
英,155
堂诊所,155
兰州市,154
第三,153
沙湾,153
青岛,152
小区,152
通,152
乐至县,151
吉林,151
坪村卫生室,151
北京同仁堂,151
厦门湖里,150
花园社区卫生服务站,150
服务站,150
六,149
夏,148
武汉,148
石门,148
治,148
高安市,147
星,147
深圳市,147
江县,146
村委卫生室,146
经济开发区,146
岱岳区,145
港南区,145
袁州区,145
后,145
安平,144
胡,143
新建,142
利川市,142
康复医院,142
诸暨市,142
堂中医门诊部,141
洪山,141
山区,140
武汉市,140
老,139
妇幼保健计划生育服务站,139
正,139
民族,139
东坡区,139
围场满族蒙古族自治县,138
保健,138
周村,138
平度市,138
场,138
晋江市,137
乐平,137
景,137
铁,136
沂源县,135
松,135
秦皇岛市海港区,135
营山县,135
定,135
营村卫生室,135
市北,134
同济,134
余,134
启东,134
泸州市纳溪区,133
胜,133
临海市,133
二门诊,133
内江市,132
梅,132
西湖,132
江津区,131
云南,131
团,130
村委会卫生室,130
原,129
牛,129
区大,129
西医妇科诊所,128
个体诊所,127
江口,127
泸州市江,127
成都,127
坝,127
中学,127
村张,127
城市,127
湖南,126
药店中医坐堂医诊所,126
厦门思明,126
化,126
江北,125
常,125
太原市,125
抚宁,125
康乐,125
南京,124
甲,124
哈尔滨,124
海口,124
柳,124
医诊所,124
衡阳县,123
惠,123
芮城县,122
湾村卫生室,121
武昌,121
张家,121
渭南,121
蓬安县,120
博,120
常宁市,120
协和医院,120
津,120
邢台桥西,120
平乐,119
下,119
沈,119
头,119
鲁,118
宽城,118
同济医院,117
富顺县,117
秦,117
科尔沁区,117
康宁,116
大同,116
医疗集团,116
山乡,116
沟村卫生所,116
溪镇,116
驻马店,116
金沙县,115
厦门,115
临,115
桂,115
绥化市北林,115
朱,115
河口,115
良,114
全,114
镇三,114
曹,114
寺,114
建设,114
乡东,113
孙,113
广西,113
九台,113
齐,113
浙江,113
勉县,112
绵竹市,112
第一卫生室,112
寿,112
秀,112
城关镇,112
水口,112
朝,111
利民,111
浏阳市,111
寨,111
绥中,111
同心,110
屯村卫生室,110
高新技术产业开发区,110
路北,110
彰武,110
房,109
中医务室,109
湾,109
博爱医院,109
范,108
华山,108
理,108
安溪县,108
街道办,108
街道办事处社区卫生服务中心,108
花园,108
开福,107
3,107
业,107
游仙区,107
九,106
大学,106
大药房中医坐堂医诊所,106
管,106
太和,106
东方,106
博白县,105
洋,105
县东,105
街社区卫生服务站,105
呼和浩特市,105
四平,105
白云,105
四川,104
爱,104
管理区,104
头村卫生室,104
坪镇,103
阳区,103
公办,103
人民医院,103
重庆市荣昌,103
村第五,103
文峰,102
店村卫生室,102
山街道,102
宜宾市翠屏区,102
涟源市,102
江南,102
成华,102
东兴,101
成都市,101
汉阳,101
文昌,101
瑞,101
小店,101
子村卫生室,101
龙门,101
沈阳市,101
喀喇沁左翼蒙古族自治县大,101
沧县,101
旗,100
北票市,100
晋江,100
韩,100
站前,100
汉滨区,99
官,99
安县,99
井,99
卢龙,99
医疗管理有限公司,99
南昌市,98
居委会社区卫生服务站,98
益,97
海门,97
鞍山铁东,97
医药连锁有限公司,97
普,96
乡大,96
科技有限公司,96
镇小,96
居,96
塘村卫生室,96
坡,96
东街,95
一分站,95
村王,95
计划生育服务站,95
内江,94
银,94
剑阁县,94
灵石,94
八,94
城关区,94
城社区卫生服务站,94
宋,94
苗,94
苏州,94
清河,94
衡南,94
浦,94
沙坪坝,93
泗洪,93
家村卫生室,93
衡阳,93
满,93
四合,93
志,93
健康管理有限公司,93
岭村卫生室,93
合江县,93
陆,93
重庆市梁平,93
小学医务室,93
南关,92
居委会卫生室,92
村委卫生所,92
武功县,92
大药房,92
都昌县,91
向阳,91
横县,91
兰州,91
遵义市播州区,91
县大,91
成都高新区,90
社会福利院,90
林村卫生室,90
仓山,90
博爱,90
陆丰,90
会理,90
溪村卫生室,90
龙口,89
江油市,89
侯,89
谷,89
红旗,89
树,89
郑州市,89
丰宁满族自治县,89
有限公司医务室,88
双辽市,88
包头市,88
区人民医院,88
一体化管理,88
街社区卫生服务中心,88
惠民,88
店镇,88
义和,88
抚松,88
昌吉市,88
西充县,88
易县,88
学院,87
重庆市铜梁,87
巴东,87
金水,87
重庆市永川区,87
鼎城区,87
强,87
兴文,87
重,87
北街,87
有限责任公司,87
蒙,87
水西,86
光泽县,86
村第三,86
县人民医院,86
尔,86
衡水市冀州区,86
丽,86
锦,86
安宁,86
庙,86
龙华,85
桥头,85
泰,85
巴州区,85
镇高,85
江汉,85
同仁,85
祁东,85
辽宁,85
镇王,84
和妇幼保健计划生育服务室,84
集镇,84
安康诊所,84
资中,84
居委会,84
西和县,84
路中医诊所,84
西关村卫生室,84
任县,83
坝村卫生室,83
杭州市余杭区,83
里村卫生室,83
南京市,83
力,83
大石桥,83
青山区,82
县看守所,82
齐齐哈尔,82
瓦房店,82
七,82
安乐,82
路门诊部,82
合江,82
长沙,82
公司,82
李家,81
人,81
榆中,81
孟,81
广安市广安,81
禹城市,81
南郊区,81
泽,81
船山区,81
坪村,80
陕西,80
汨罗,80
神木,80
高唐,80
凤凰村卫生室,80
绿园,80
营口,80
唐山,80
厦门同安,80
赣县,80
龙凤,79
瑞金,79
青岛市即墨区,79
华诊所,79
温,79
内黄,79
乡北,79
曲,79
宁市,79
县城关镇,79
社区卫生所,79
镇太平,78
绍兴市,78
恩阳区,78
黎,78
平县,78
口腔科诊所,78
河村,78
岳塘,78
关镇,78
长春,77
青岛市,77
祥,77
二七,77
中国,77
玉林,77
城街道,77
孟津县,77
西安碑林,77
昆山,77
嫩江县,77
第三人民医院,77
莲花,77
兴村卫生室,77
建国,77
龙王,76
昌图县,76
迁安市,76
太原,76
仁爱医院,76
丹,75
宾阳县,75
中原,75
天门,75
铁岭市,75
安康,75
宜,75
第三卫生室,74
修水县,74
义宁,74
平和县,74
村第三卫生所,74
潜江市,74
蔚县,74
东方医院,74
彭,74
兴仁,74
安居,74
隆回县,74
结核病防治,74
灌云,74
桂林,74
骨科,74
许,73
二门诊部,73
习水县,73
芜湖,73
健民诊所,73
沟村,73
杭州市,73
莲,73
小学,73
重庆市大足区,72
立,72
龙港,72
临江,72
医药,72
寺村卫生室,72
文水县,72
南票区,72
柏,72
林州,72
法库县,72
三家,72
镇石,72
庙村卫生室,72
株洲,72
沧州市,72
堡村卫生室,72
郫县,71
贵州,71
村第六卫生室,71
慈溪,71
南昌,71
明诊所,71
兴义市,71
联,71
医师,71
坪上,71
安平县,71
夏津县,71
甲级,70
固安,70
店中医诊所,70
平果县,70
大连甘井子,70
浉河,70
重庆市长寿区,70
广元,70
工业,70
西安市,70
康复,70
肥西,70
烟台,70
管城,70
服务点,70
东津,69
北流市,69
益民诊所,69
萧山区,69
宁海,69
长沙市,69
山市,69
龙海市,69
沈阳市辽中,69
泰安市,69
路街道,69
连山区,69
军,69
南安,69
湖镇,69
西秀区,69
永康,69
镇李,68
专科门诊部,68
镇张,68
桂平,68
荣成,68
镇上,68
辉,68
叙州区,68
亚,68
新津县,68
南京市江宁,67
湘,67
阳市,67
河乡,67
瑞安,67
万全区,67
岛,67
东城,67
仙,67
路南,67
医疗按摩所,67
西安市鄠邑区,67
盘,67
杜,67
南明,67
阜城县,67
田村卫生室,66
海港区,66
金山,66
南区,66
平原,66
犍为县,66
魏县,66
程,66
金牛,66
新兴,66
张店,66
兴镇,66
渝北,66
幼儿园,66
武安市武安,66
桥村,66
复,65
口腔,65
村卫生室3,65
市驿城区,65
育,65
丁,65
章,65
城关,65
园社区卫生服务站,65
湘乡,65
复兴村卫生室,65
信,65
荣县,65
裕安,65
南宫市,65
余庆,64
左,64
正阳,64
延吉,64
管理,64
华中医诊所,64
楼,64
广安市前锋区,64
上海市浦东,64
中医综合诊所,64
吐鲁番市,64
坡村卫生室,64
便民诊所,64
村委,64
邢,64
沙县,64
惠民诊所,64
乙,64
新城区,64
和计划生育服务中心,64
村李,64
运河,63
庄乡,63
经济技术开发区,63
齐河县,63
滦州市,63
第五,63
南宁市,63
临安,63
岩,63
魏,63
洪湖,63
嵊州市,63
龙岩市永定区,62
卢,62
南路,62
马庄村卫生室,62
盛,62
三河,62
青岛市黄岛区,62
桥街道,62
郑州,62
中医骨伤科诊所,62
李庄村卫生室,62
蛟河,62
渡,62
华西医内科诊所,62
达州市达川区,62
上饶市广丰,62
滨,62
王益,62
叶,62
连锁,61
安顺市,61
陵,61
城县,61
车站,61
大药房有限公司,61
蒙阴,61
强制隔离戒毒所,61
青山,61
塘镇,61
忠县,61
南韩,61
福安,61
岗,61
董,61
外,61
农安,61
容,61
园林办事处个体,60
卫生计生服务室,60
伊春市,60
谢,60
龙镇,60
岳池,60
东辽县,60
金堂,60
隆昌市,60
市章丘区,60
兴国,60
桥社区卫生服务站,60
嘉,60
南郑县,60
儋州,60
分公司,60
淮安,60
一体化示范区,60
疗点,60
静海,60
林口,60
凤凰,60
贵,60
镇金,60
上海市,60
段,59
天津市滨海新区,59
丹东,59
建新,59
医疗投资管理有限公司,59
仁德,59
彬县,59
代,59
古城,59
濮阳市,59
中西医门诊部,59
凯里,59
丰乐,59
贵阳,59
百,59
天心,58
怀仁县,58
益民,58
滨海,58
南川区,58
建华,58
鞍山铁西,58
雅,58
宜昌市,58
临湘市,58
学校医务室,58
遵义市红花岗区,58
自,58
泉村卫生室,58
泸州市龙马潭区,58
开元,58
合川区,58
临夏市,58
莱西,57
东营,57
昌黎县,57
永乐,57
农,57
宏,57
长子,57
重庆市綦江区,57
景县,57
江宁,57
三江,57
宁化县,57
桥头村卫生室,57
建昌县,57
白银区,57
黄山,57
一体化,57
乌鲁木齐高新区,57
朝阳区,57
第四,57
三合,56
新桥,56
路中医坐堂医诊所,56
河村卫生所,56
仙桃,56
秦安县,56
保安,56
孝南区,56
大英县,56
清水,56
乌,56
晋中,56
广平,56
保健站,56
开原市,56
风,56
滦县,56
五华,56
沙市,56
玉泉,56
重庆市武隆,56
鞍山,56
农场,56
康平,56
铜川市,56
大方,56
清徐,56
牙科诊所,56
福康诊所,55
康复门诊部,55
克,55
集宁,55
卫生服务中心,55
中医针灸诊所,55
开阳县城关镇,55
神,55
武平县,55
银海,55
牡丹区,55
吕,55
土,55
湘潭,55
库车县,55
七星关,55
东湖,55
于,55
边,54
楼村卫生室,54
盐城市,54
堡,54
宁县,54
林镇,54
太阳,54
市金,54
商丘市,54
凤翔县,54
镇前,54
盘龙,54
突泉,54
广场,54
永安,54
湘东,54
洛阳,54
德康诊所,54
锦江,54
裕华,54
新余高新技术产业开发区,54
市人民医院,54
成都高新,54
凌源市,54
中医馆,54
平阴县,54
重庆市北碚区,53
民主村卫生室,53
茂,53
港南区木格镇,53
北关,53
山村卫生站,53
竹,53
泸县云锦,53
攀枝花,53
贵港市港南区,53
龙里,53
高平,53
尚,53
林中医诊所,53
铁岭,53
溪村卫生所,53
邓州市,53
北京市密云,53
会宁,53
祁县,53
口腔门诊,53
唐山市丰南区,53
铁路,53
济宁,53
中医药,53
深州市,53
民康诊所,53
地,53
岱岳区夏张,52
广西桂平,52
第一分室,52
洛,52
凤城,52
居委会卫生所,52
义乌市,52
永兴,52
寨村,52
蔡,52
溪乡,52
华康,52
民乐,52
仁义,52
福利院,52
龙潭,51
宜州区,51
洲,51
仁济,51
武陵区,51
仁济医院,51
甘南,51
镇马,51
西安雁塔,51
灵,51
黎明,51
平谷,51
镇白,51
明中医诊所,51
安福,51
芦,51
田村,51
儿科诊所,51
贵阳市,51
淮南,50
承德市双桥区,50
康福,50
冯,50
乌兰察布市,50
横,50
区王,50
一门诊,50
社区居委会卫生室,50
莱州市,50
华西,50
田心,50
任城,50
镇向阳,50
信州区,50
仙居,50
富强,50
吴忠市红寺堡,50
峪村卫生室,50
南街道,50
长沙市雨花,50
林场,50
聊城,50
天祝藏族自治县,50
沅江市,50
莒南,50
青阳,50
街道东,49
永吉,49
湖北,49
分公司医务室,49
成武,49
医馆,49
老年公寓医务室,49
行政村卫生室,49
清江,49
镇黄,49
六盘水市钟山区,49
宾,49
王庄村卫生室,49
民诊所,49
蓬溪县,49
曙光,49
村甲级卫生室,48
苑,48
重庆市巴南区,48
咸安,48
香,48
象州,48
何,48
桥圩镇,48
西峡县,48
延安,48
牡丹江市,48
遵义,48
三门,48
邓,48
河间市,48
呼兰,48
云阳,48
株洲市石峰,48
路口腔诊所,48
温岭市,48
庄村第一卫生室,48
阿克苏,48
昌平,48
县宋村,48
枣庄,48
兴隆县,48
故城县,48
白马,48
丰县,48
邗江区,48
光华,48
邢台桥东,48
重庆市渝北,48
大连沙河口,48
三亚,48
湖州市吴兴,48
大药房连锁有限公司,47
锁,47
鄱阳县鄱阳,47
恩,47
葫芦岛市龙港区,47
兴村,47
文化,47
新都,47
镇长,47
醴陵市,47
第八师一,47
阳县,47
营村,47
仁和医院,47
无锡市,47
县妇幼保健院,47
厦门集美,47
通江县,47
忠,47
矿区,47
拜泉,47
大悟县,47
中西医内科诊所,47
师,47
流,47
黄石,47
秦皇岛,47
官渡,47
普通合伙,47
尧,47
社区卫生服务室,47
兴业,47
城子镇,47
云龙,47
太原市万柏林,47
宕昌县,47
家园,47
旺,47
淄博,46
丰村卫生室,46
玉田县,46
义县,46
晓,46
漳州,46
市第二人民医院,46
沙镇,46
健康体检中心,46
全科诊所,46
邵,46
善,46
蒙自,46
无锡,46
车,46
文水县凤城镇,46
家园社区卫生服务站,46
铜鼓,46
医疗服务点,46
龙山,46
仁爱,46
德清,46
迁西,46
昭阳,46
卫生计生室,46
中心卫生所,46
孝昌县,46
县金,46
医学检验所,46
北川羌族自治县,46
卫生计生服务站,46
上饶县,46
屯村,46
敖汉旗,46
同安,46
佳,46
东丽,46
七里河,46
易,46
西固,46
普陀区,46
温州市瓯海,46
卢氏,46
潘,46
锦屏县,45
武邑县,45
广济,45
晋城市,45
西医外科诊所,45
怀,45
高坪,45
村第二,45
江市,45
西路,45
洞,45
南郊,45
内蒙古,45
冀州市,45
永春,45
庄村第二卫生室,45
即墨市通济,45
汶上,45
远,45
平泉市,45
泗水县,45
伊春市伊春,45
临汾市尧都区,45
定西,45
天平,45
威,45
凉城县岱海,45
东路,45
昌乐,45
大渡口,45
津市,45
德州,44
郧西,44
太原市迎泽,44
重庆市涪陵区,44
新塘镇,44
庆安县,44
赤峰,44
宁武,44
新城街道,44
桃源县,44
耀州区,44
无棣县,44
镇双,44
祥和,44
区看守所,44
泊头市,44
武强县,44
高阳县高阳,44
开州,44
丰田镇,44
人民,44
康健,44
桃城,44
锡林浩特市,44
药,44
邑,44
朝阳县,44
景洪,44
三卫生室,44
钟,44
珙县,44
非一体化,44
眼科,44
珠,44
服务,44
港南区湛江,44
安次区,43
顺义,43
村卫生站2,43
霸州,43
桥村卫生所,43
妇产医院,43
任丘,43
宣汉县,43
前进,43
固镇,43
县清,43
房村卫生室,43
市普兰店,43
淮安市淮阴,43
路口腔门诊部,43
天津河东,43
团风,43
工业园区,43
南城县,43
回,43
垦利,43
务川仡佬族苗族自治县,43
爱国,43
民康,43
杭州余杭,43
工,43
天桥,43
康平县,43
汇川区,43
营镇,43
毛,43
回民,43
丛台,43
丰泽,43
蚌埠市龙,43
织金,43
疗,43
贡井,43
霞,43
村刘,43
林州市,43
平凉市崆峒区,43
光荣,43
4,43
沁,43
岱岳区大汶口镇,43
一分室,42
市细河,42
辽河口,42
双阳,42
秀山,42
协和,42
城北办,42
巴林左旗,42
长江,42
红十字会,42
潞城市,42
天长,42
利辛,42
上乐,42
衡,42
益阳市赫山区,42
三门诊,42
桥乡,42
遵义市汇川区,42
医学检验实验室,42
资阳区,42
水磨沟,42
岭村卫生所,42
燕,42
通辽市,42
草,42
王家,42
太原市杏花岭,42
白沙,42
渠县,42
杭,42
保山市,42
锦州市,42
岑溪,42
村卫生站1,42
船营,41
陶,41
十,41
乡三,41
建平,41
青白,41
兴化市,41
友,41
月,41
长清,41
川镇,41
光辉,41
博山,41
子文,41
湖州,41
龙泉,41
南通,41
舒兰,41
镇红旗,41
高青,41
立石,41
里镇,41
平涅阳,41
商,41
泸县百和,41
正定县,41
店上,41
原平,41
峨眉山市,41
公安,41
服务有限公司,41
汉阳区,41
袁,41
头村卫生所,41
阿,41
雁,40
市历下,40
三元,40
经,40
武汉市江夏,40
西和县长,40
管理处,40
邵武,40
上海市闵行,40
三都,40
龙江,40
呼和浩特市赛罕区,40
邱,40
文家,40
乌鲁木齐市,40
鼓楼,40
二分站,40
头道,40
成安县,40
青龙满族自治县,40
东坡区永寿,40
建昌,40
玉龙,40
交口,40
第二卫生所,40
溪村,40
盐源县,40
南城,40
习水县东皇,40
西安莲湖,40
吉安,40
康达,40
村第一,40
岗村卫生室,40
磐石,40
南午村,40
崔,40
乐陵市,39
泸县毗卢,39
县上,39
门源县,39
徐州,39
偃师,39
确山县,39
岱岳区粥店,39
国际旅行,39
扎兰屯,39
辽阳市,39
长青,39
民和,39
镇东街,39
康民诊所,39
堂中医,39
镇杨,39
滨江,39
市海州区,39
新沂市,39
四川盖亚,39
徽县,39
东台市,39
获嘉县亢村,39
互助县,39
潭,39
市归义,39
新立,39
哈拉,39
娄星,39
运,39
第四卫生室,39
校区,39
运城市盐湖区,39
干,39
厦门翔安,39
苑社区卫生服务站,39
郑东,39
鹤岗,39
朝阳市双塔区,39
宿迁市,39
漳平,39
武清,39
萍乡,39
一分所,39
营村卫生所,39
大英县回马,39
池,39
克山县,39
美林,38
砚山县,38
东风,38
来,38
观山湖,38
职工医院,38
麻,38
满庄镇,38
榆阳区,38
长沙市天心,38
洛阳市,38
连锁管理有限公司,38
莒县,38
防保,38
会东,38
景德,38
妇科,38
柳州,38
振,38
子镇,38
鹿,38
武侯,38
肖,38
大夫诊所,38
仪陇县,38
常州,38
尧都,38
武功县贞元,38
县太平,38
西街道,38
中医妇科诊所,38
东港,38
迁安市迁安,38
县龙,38
人和,38
嘉祥,38
连江,38
富民,38
卫生院第二门诊部,38
职业,38
镇后,38
吉利,38
健民,38
孝,38
惠济,38
忠义,38
交城县,38
瑞州,38
田阳县,38
区张,38
村卫生计生室,37
延津县,37
太原仁和,37
花园村卫生室,37
镇永,37
海陵区,37
环,37
大庆油田总医院,37
亭,37
屏南,37
黑龙江省,37
岳阳县,37
年,37
邯郸市丛台,37
桐梓娄山,37
阁,37
阳朔县,37
奎文,37
临沂经济技术开发区,37
城子,37
兴隆台,37
万源市,37
泸县玉蟾街道,37
村第四卫生所,37
旺苍,37
沂源县东,37
科尔沁左翼中旗舍伯吐镇,37
兰州市七里河,37
安溪县龙门,37
七星关区,37
路口,37
泰和县澄江,37
嘉明,37
曲靖,37
马村,37
博爱门诊部,37
市铁西,37
长岭,37
市大,37
青川县,37
福利,37
滨城,37
南皮,37
法库县法库,37
将乐,37
明月,37
青神县,37
灯塔市,37
张庄村卫生室,37
白塔,37
大兴,36
沈阳沈河,36
宁晋,36
文昌市,36
王庄,36
杏林,36
广宗县,36
福州,36
常青,36
康美,36
村第七,36
铜梁,36
医药有限公司,36
医院第二门诊部,36
回龙,36
鹿泉,36
寻甸县,36
兴华,36
贵州省平塘,36
协和门诊部,36
绍兴市柯桥区,36
波,36
经济,36
儿童医院,36
居委,36
福海,36
区石,36
乡王,36
立新,36
九江,36
丰满,36
市历城区,36
承德县,36
爱尔眼科,36
卫生院第二门诊,36
法,36
乌鲁木齐,36
定兴,36
哈密市,36
芮城县陌南,36
桃,36
铺,36
日照经济技术开发区,36
乡高,36
北路,36
云岩,36
庄子村卫生室,36
金台,36
新庄村卫生室,36
沈阳市苏家屯,36
中医门诊,36
医疗美容医院,36
头村,36
井村卫生室,36
雷,36
简阳,36
洞口,36
县丹朱,36
山县,35
泰安,35
合肥新,35
涟源市杨,35
诸城,35
新郑,35
兰西,35
北京市大兴,35
十里铺村卫生室,35
江口镇,35
光明社区卫生服务站,35
塘村卫生所,35
保和,35
耒阳市,35
镇五,35
西渡镇,35
惠民医院,35
王庄村卫生所,35
委,35
爱民诊所,35
赣州,35
祁县古,35
甸,35
苍溪,35
寿县,35
二分所,35
深圳,35
六合,35
临泉,35
县小,35
区永安,35
威海市,35
姜,35
周家,35
和田,35
区妇幼保健院,35
乐山,35
鱼台县,35
官庄村卫生室,35
海关,35
衡东,35
宜黄,35
市天桥区,35
徐家,35
牙病防治,35
甘,35
武安市,35
滕州,35
保靖县,35
榆社,35
乐清市,35
颍泉,35
莘县,35
市铁东,35
博白县博白,35
社区卫生室1,35
港镇,35
攸县,35
德阳市旌阳区,35
姚,35
区妇幼保健计划生育服务中心,34
渭源县,34
武邑县龙,34
正定,34
市潞州区,34
大丰,34
白银,34
海林,34
晋,34
兴义,34
临夏县,34
文峰街道,34
寿光,34
合川,34
龙胜各族自治县,34
汪,34
衡阳县金兰,34
铁力市,34
涟水县,34
县鲁沙尔,34
获嘉县,34
朔州市朔城区,34
敦煌市,34
广阳区,34
即墨市,34
察布查尔锡伯自治县,34
三原县城关街道办,34
沟门,34
镇三合,34
滩,34
乐安,34
进,34
东阿,34
安定区,34
临猗县,34
宛城,34
博乐,34
台商投资,34
场镇,34
岱岳区马庄镇,34
寨村卫生所,34
医院有限责任公司,34
三明,34
杭州市临安,34
康中医诊所,34
兰溪,34
管理有限公司,34
新疆生产建设兵团第六师五家渠市,34
石河子,34
工人,34
襄垣县,33
阳城县,33
玉皇,33
哈达,33
滨区,33
海安,33
临澧县,33
十二,33
凤鸣,33
洮南,33
桂花,33
西湖区,33
和协,33
原阳县,33
政,33
双峰,33
延庆,33
青山湖区,33
府,33
洪江市,33
铺村卫生室,33
银川市金凤,33
镇红,33
屯镇,33
临沂临港经济开发区,33
缙云,33
泉镇,33
观,33
南京市溧水,33
科技,33
营山县骆市,33
荣县旭阳,33
黎平县,33
容城县,33
平坝,33
村第八,33
七台,33
沛县,33
坝镇,33
黄岩,33
兵,33
移交,33
上杭,33
武鸣县,33
日,33
昆区,33
三亚市,33
妇科门诊部,33
坝村,33
路社区卫生服务中心,33
青云,33
矿,33
路药店中医坐堂医诊所,33
生态经济,33
星光,33
沟镇,33
南沿村,33
外科诊所,33
哈,33
关村卫生室,33
房村,33
永和,33
李沧,33
西街社区卫生服务站,33
邯郸冀南,33
有限,32
岳阳市,32
巫溪县,32
滨河,32
合肥,32
安定,32
牙克石,32
海安县,32
旌阳,32
单县,32
人口,32
辛,32
罗庄,32
福建,32
福清,32
正安,32
县上五,32
协,32
城郊,32
第二分室,32
市第三人民医院,32
栖霞,32
温州市,32
巴州,32
田镇,32
迁安,32
江区,32
绥阳,32
泉水,32
肇东,32
金海,32
镇沅彝族哈尼族拉祜族自治县,32
珠山,32
县金牛,32
清河县,32
开鲁,32
万家,32
沂源县鲁,32
祁,32
里村卫生所,32
靖,32
江夏,32
宣汉县东,32
区五,32
西郊,32
子湖区,32
巧家,32
小区卫生室,32
宁夏回族自治,32
漳州芗城,32
药店有限责任公司,32
中医骨伤诊所,32
第二门诊部,32
梁村卫生室,32
通榆,32
菏泽市,32
区白,32
威海,32
永丰,32
镇古,32
康泰,32
天津津南,31
坪村卫生所,31
宾州,31
爱民,31
医疗门诊部,31
光明诊所,31
兰家,31
冷水,31
苍溪陵江,31
中牟县,31
岷县,31
水泥厂医务室,31
铜仁,31
鲁山县董周,31
药店,31
防城,31
长兴,31
沈家,31
孟家,31
侯马,31
平安县,31
昌邑,31
盐湖,31
江苏,31
洋湖,31
慈,31
雄,31
保石,31
济民,31
辰溪县,31
昌市,31
宣化,31
南湖,31
